Tipo_Estacao,Local_Nome_Estacao,Contagem,Média,Mediana,Desvio Padrão,Mínimo,Máximo,Valores Nulos,% Nulos
automatica,PARATY,140,1.53,1.5,0.16,1.0,2.0,14,9.09
automatica,PARAUNA,131,1.02,1.0,0.27,0.4,1.8,23,14.94
automatica,PARINTINS,102,0.74,0.95,0.72,0.0,2.2,52,33.77
automatica,PARNAIBA,125,3.07,2.9,1.15,0.0,5.3,29,18.83
automatica,PARQUE ESTADUAL CHANDLESS,96,0.65,0.7,0.18,0.3,1.1,58,37.66
automatica,PASSA QUATRO,144,2.1,2.1,0.32,1.4,2.9,10,6.49
automatica,PASSO FUNDO,150,3.19,3.2,0.43,1.2,4.3,4,2.6
automatica,PASSOS,124,1.54,1.6,0.55,0.2,2.6,30,19.48
automatica,PATOS,111,3.21,3.3,1.01,0.6,4.8,43,27.92
automatica,PATOS DE MINAS,59,1.64,1.6,0.29,0.8,2.4,31,34.44
automatica,PATROCINIO,143,1.08,1.1,0.35,0.4,2.1,11,7.14
automatica,PAULISTANA,111,3.32,3.5,0.98,0.6,5.4,43,27.92
automatica,PAULO AFONSO,59,3.97,4.0,0.61,1.7,4.8,4,6.35
automatica,PEDRO AFONSO,126,0.7,0.7,0.25,0.1,1.2,28,18.18
automatica,PEIXE,117,1.28,1.4,0.44,0.0,2.2,37,24.03
automatica,PETROLINA,134,3.44,3.5,0.65,0.4,4.7,20,12.99
automatica,PIATA,152,2.6,2.6,0.4,1.5,3.6,2,1.3
automatica,PICO DO COUTO,90,4.58,4.5,0.54,3.3,6.0,64,41.56
automatica,PICOS,72,2.2,2.2,0.51,1.3,3.7,82,53.25
automatica,PILAO ARCADO,36,2.43,2.5,0.56,1.6,4.1,41,53.25
automatica,PIRACICABA,121,1.81,1.8,0.41,0.9,2.9,33,21.43
automatica,PIRANHAS,67,2.63,2.6,0.66,1.3,4.2,19,22.09
automatica,PIRAPORA,147,1.32,1.3,0.31,0.6,2.1,7,4.55
automatica,PIRES DO RIO,144,0.8,0.9,0.48,0.0,1.8,10,6.49
automatica,PIRIPIRI,127,1.77,1.7,0.37,0.9,2.7,27,17.53
automatica,PIUM,78,1.3,1.3,0.14,1.1,1.8,25,24.27
automatica,PLACAS,112,0.76,0.8,0.19,0.4,1.2,42,27.27
automatica,PLANALTO,115,2.42,2.7,0.84,0.3,3.7,39,25.32
automatica,POCO VERDE,104,2.24,2.5,1.42,0.0,4.6,50,32.47
automatica,POMPEU,51,2.07,2.1,0.33,1.4,2.7,60,54.05
automatica,PONTA PORA,118,2.57,2.55,0.35,1.9,3.4,36,23.38
automatica,PONTES E LACERDA,133,1.09,1.1,0.26,0.1,1.6,21,13.64
automatica,PORANGATU,56,1.11,1.1,0.2,0.7,1.5,98,63.64
automatica,PORTO ALEGRE - JARDIM BOTANICO,153,1.46,1.5,0.23,0.9,1.9,1,0.65
automatica,PORTO DE MOZ,19,1.01,1.0,0.07,0.9,1.1,12,38.71
automatica,PORTO ESTRELA,117,0.85,1.0,0.41,0.0,1.4,37,24.03
automatica,PORTO GRANDE,76,1.56,1.5,0.32,1.0,2.2,78,50.65
automatica,PORTO MURTINHO,99,1.51,1.6,0.59,0.0,2.6,55,35.71
automatica,PORTO SEGURO,104,1.42,1.4,0.21,1.0,2.1,50,32.47
automatica,PORTO VELHO,70,1.34,1.3,0.16,0.8,1.8,84,54.55
automatica,PORTO WALTER,73,1.3,1.3,0.14,1.0,1.7,81,52.6
automatica,POSSE,127,2.24,2.1,0.46,1.4,3.4,27,17.53
automatica,PRADOPOLIS,151,2.03,2.0,0.42,1.1,3.0,3,1.95
automatica,PREGUICAS,78,2.44,2.95,1.93,0.0,5.4,76,49.35
automatica,PRESIDENTE FIGUEIREDO,108,0.62,0.6,0.18,0.1,1.1,46,29.87
automatica,PRESIDENTE KENNEDY,125,3.62,3.6,0.73,2.4,6.1,29,18.83
automatica,PRESIDENTE PRUDENTE,149,1.45,1.4,0.35,0.0,2.2,5,3.25
automatica,PRIMAVERA DO LESTE,57,2.71,2.8,0.48,1.6,3.8,28,32.94
automatica,Paty do Alferes - Avelar,23,1.19,1.2,0.18,0.9,1.5,1,4.17
automatica,QUARAI,136,2.44,2.6,0.83,0.3,3.9,18,11.69
