Tipo_Estacao,Local_Nome_Estacao,Contagem,Média,Mediana,Desvio Padrão,Mínimo,Máximo,Valores Nulos,% Nulos
automatica,ABROLHOS,0,,,,,,154,100.0
automatica,ACARAU,0,,,,,,154,100.0
automatica,AFONSO CLAUDIO,0,,,,,,154,100.0
automatica,AGUA BOA,0,,,,,,154,100.0
automatica,AGUA CLARA,0,,,,,,154,100.0
automatica,AGUAS EMENDADAS,0,,,,,,154,100.0
automatica,AGUAS VERMELHAS,0,,,,,,154,100.0
automatica,AIMORES,0,,,,,,154,100.0
automatica,ALEGRE,0,,,,,,154,100.0
automatica,ALEGRETE,0,,,,,,154,100.0
automatica,ALFREDO CHAVES,0,,,,,,154,100.0
automatica,ALMAS,0,,,,,,104,100.0
automatica,ALMENARA,0,,,,,,154,100.0
automatica,ALTA FLORESTA,0,,,,,,154,100.0
automatica,ALTAMIRA,0,,,,,,73,100.0
automatica,ALTO ARAGUAIA,0,,,,,,154,100.0
automatica,ALTO PARAISO DE GOIAS,0,,,,,,154,100.0
automatica,ALTO PARNAIBA,0,,,,,,154,100.0
automatica,ALTO TAQUARI,0,,,,,,154,100.0
automatica,ALVORADA DO GURGUEIA,0,,,,,,154,100.0
automatica,AMAMBAI,0,,,,,,154,100.0
automatica,AMARGOSA,0,,,,,,154,100.0
automatica,ANGICAL DO PIAUI,0,,,,,,60,100.0
automatica,ANGRA DOS REIS,0,,,,,,87,100.0
automatica,APIACAS,0,,,,,,154,100.0
automatica,APODI,0,,,,,,154,100.0
automatica,APUI,0,,,,,,154,100.0
automatica,AQUIDAUANA,0,,,,,,154,100.0
automatica,ARACAJU,0,,,,,,154,100.0
automatica,ARACUAI,0,,,,,,90,100.0
automatica,ARAGARCAS,0,,,,,,154,100.0
automatica,ARAGUACU,0,,,,,,111,100.0
automatica,ARAGUAINA,0,,,,,,154,100.0
automatica,ARAGUATINS,0,,,,,,154,100.0
automatica,ARAPIRACA,0,,,,,,154,100.0
automatica,ARARANGUA,0,,,,,,154,100.0
automatica,ARAXA,0,,,,,,154,100.0
automatica,ARCO VERDE,0,,,,,,154,100.0
automatica,AREIA,0,,,,,,154,100.0
automatica,AREMBEPE,0,,,,,,22,100.0
automatica,ARIQUEMES,0,,,,,,154,100.0
automatica,ARIRANHA,0,,,,,,154,100.0
automatica,ARQ.SAO PEDRO E SAO PAULO,0,,,,,,112,100.0
