Data,PIB
2009.09,283157900000.0
2009.1,301895900000.0
2009.11,305048800000.0
2009.12,313522800000.0
2010.01,288972800000.0
2010.02,285723200000.0
2010.03,311651600000.0
2010.04,307083500000.0
2010.05,315988400000.0
2010.06,321023200000.0
2010.07,332454200000.0
2010.08,334225600000.0
2010.09,331255900000.0
2010.1,344963800000.0
2010.11,356707500000.0
2010.12,355797400000.0
2011.01,333255600000.0
2011.02,334982000000.0
2011.03,347879600000.0
2011.04,349049300000.0
2011.05,366256200000.0
2011.06,370951200000.0
2011.07,373143300000.0
2011.08,376769300000.0
2011.09,361724600000.0
2011.1,378491000000.0
2011.11,389560800000.0
2011.12,391595100000.0
2012.01,367215400000.0
2012.02,367177300000.0
2012.03,392996500000.0
2012.04,381795300000.0
2012.05,400281300000.0
2012.06,398714500000.0
2012.07,414617400000.0
2012.08,419906300000.0
2012.09,393524700000.0
2012.1,422672100000.0
2012.11,423816400000.0
2012.12,423195900000.0
2013.01,414131800000.0
2013.02,398645400000.0
2013.03,427409800000.0
2013.04,438856800000.0
2013.05,439054200000.0
2013.06,442857000000.0
2013.07,458458900000.0
2013.08,452862200000.0
2013.09,438766700000.0
2013.1,466166000000.0
2013.11,465693800000.0
2013.12,473552500000.0
2014.01,455935000000.0
2014.02,450358800000.0
2014.03,462159800000.0
2014.04,468767500000.0
2014.05,473347100000.0
2014.06,458516500000.0
2014.07,481994000000.0
2014.08,477052900000.0
2014.09,476520600000.0
2014.1,493304700000.0
2014.11,489484400000.0
2014.12,499867700000.0
2015.01,472913900000.0
2015.02,460156700000.0
2015.03,501752200000.0
2015.04,486614600000.0
2015.05,483239700000.0
2015.06,486647500000.0
2015.07,502275200000.0
2015.08,492505700000.0
2015.09,496004700000.0
2015.1,518828900000.0
2015.11,513819800000.0
2015.12,521918700000.0
2016.01,490284000000.0
2016.02,491011700000.0
2016.03,516985900000.0
2016.04,508058700000.0
2016.05,513267500000.0
2016.06,536459300000.00006
2016.07,532947800000.00006
2016.08,534761800000.00006
2016.09,509975000000.0
2016.1,525162699999.99994
2016.11,541530699999.99994
2016.12,565780500000.0
2017.01,526564699999.99994
2017.02,514120500000.0
2017.03,544312900000.0
2017.04,525238100000.0
2017.05,548887699999.99994
2017.06,556787600000.0
2017.07,557458200000.0
2017.08,555578700000.0
2017.09,528871199999.99994
2017.1,549304699999.99994
2017.11,566209300000.0
2017.12,588892800000.0
2018.01,555644600000.0
2018.02,528905500000.0
2018.03,560120700000.0
2018.04,559359800000.0
2018.05,547016500000.0
2018.06,580697800000.0
2018.07,583054800000.0
2018.08,582756700000.0
2018.09,556776600000.0
2018.1,591983900000.0
2018.11,593926900000.0
2018.12,603155200000.0
2019.01,578452600000.0
2019.02,567984500000.0
2019.03,579172600000.0
2019.04,592916000000.0
2019.05,604607400000.0
2019.06,598283000000.0
2019.07,627049700000.0
2019.08,616157600000.0
2019.09,614187900000.0
2019.1,641340100000.0
2019.11,634826200000.0
2019.12,646343100000.0
2020.01,617747200000.0
2020.02,609810800000.0
2020.03,616335300000.0
2020.04,555387400000.0
2020.05,561628400000.0
2020.06,591537300000.0
2020.07,629700900000.0
2020.08,625136300000.0
2020.09,635263900000.0
2020.1,661149000000.0
2020.11,665182800000.0
2020.12,685042600000.0
2021.01,653790400000.0
2021.02,676255000000.0
2021.03,735993600000.0
2021.04,713652100000.0
2021.05,712134200000.0
2021.06,714893300000.0
2021.07,743091800000.0
2021.08,740615100000.0
2021.09,745774400000.0
2021.1,755323000000.0
2021.11,771558900000.0
2021.12,782833500000.0
2022.01,722909900000.0
2022.02,754147400000.0
2022.03,838868000000.0
2022.04,819727600000.0
2022.05,826052100000.0
2022.06,826025700000.0
2022.07,852909900000.0
2022.08,854004100000.0
2022.09,836785800000.0
2022.1,877947500000.0
2022.11,879514900000.0
2022.12,883886200000.0
2023.01,812834600000.0
2023.02,831224500000.0
2023.03,938679800000.0
2023.04,904664800000.0
2023.05,903238100000.0
2023.06,893074900000.0
2023.07,911553500000.0
2023.08,923374400000.0
2023.09,905912700000.0
2023.1,943578500000.0
2023.11,950303500000.0
2023.12,937338600000.0
2024.01,876200500000.0
2024.02,886739500000.0
2024.03,950976700000.0
2024.04,975287900000.0
2024.05,949745500000.0
2024.06,962616900000.0
2024.07,1004825200000.0
2024.08,993497300000.0
2024.09,982214400000.0
2024.1,1014792000000.0
