Data_Inicial,Data_Final,Data_Medicao,Periodicidade_Medicao,Local_Nome_Estacao,Situacao,Codigo_Estacao,Latitude,Longitude,Altitude,Direcao_Vento_Predominante_Mensal_graus,Evaporacao_Piche_Mensal_mm,Evapotranspiracao_Potencial_BH_Mensal_mm,Evapotranspiracao_Real_BH_Mensal_mm,Insolacao_Total_Mensal_horas,Nebulosidade_Media_Mensal_decimos,Numero_de_dias_com_precip_pluv_mensal,Precipitacao_total_mensal_mm,Pressao_atmosferica_nivel_mar_media_mensal_mB,Pressao_atmosferica_media_mensal_mB,Temperatura_maxima_media_mensal_Celsius,Temperatura_media_compensada_mensal_Celsius,Temperatura_minima_media_mensal_Celsius,Umidade_relativa_ar_media_mensal_percentual,VENTO_velocidade_MAXIMA_mensal_metros_seg,VENTO_velocidade_MEDIA_mensal_metros_seg,Visibilidade_media_mensal_codigo
01/01/2012,31/10/2024,31/01/2012,Mensal,CAROLINA,Operante,82765,-7.33722221,-47.45972222,182.94,0.0,38.4,119.3,119.3,92.1,8.5,24.0,348.8,1013.9,989.8,29.9,25.2,22.7,88.3,3.3,1.0,68.2
01/01/2012,31/10/2024,29/02/2012,Mensal,CAROLINA,Operante,82765,-7.33722221,-47.45972222,182.94,0.0,41.4,113.4,113.4,108.8,8.1,24.0,287.5,1013.6,989.4,30.5,25.4,22.4,87.0,7.8,1.0,66.4
01/01/2012,31/10/2024,31/03/2012,Mensal,CAROLINA,Operante,82765,-7.33722221,-47.45972222,182.94,0.0,42.6,129.8,129.8,155.9,7.9,25.0,253.9,1013.9,989.8,31.5,26.0,23.0,87.1,3.6,1.0,69.2
01/01/2012,31/10/2024,30/04/2012,Mensal,CAROLINA,Operante,82765,-7.33722221,-47.45972222,182.94,0.0,49.6,143.1,143.1,192.9,6.5,15.0,172.3,1013.3,989.4,32.5,27.1,23.4,84.6,5.0,0.8,69.7
01/01/2012,31/10/2024,31/05/2012,Mensal,CAROLINA,Operante,82765,-7.33722221,-47.45972222,182.94,0.0,77.3,151.6,94.0,247.8,4.9,8.0,21.2,1014.4,990.5,33.4,27.4,23.0,78.5,3.0,0.9,70.0
01/01/2012,31/10/2024,30/06/2012,Mensal,CAROLINA,Operante,82765,-7.33722221,-47.45972222,182.94,0.0,91.4,147.5,24.1,261.5,3.5,6.0,3.4,1015.6,991.7,34.3,27.5,22.1,70.6,3.3,1.0,70.0
01/01/2012,31/10/2024,31/07/2012,Mensal,CAROLINA,Operante,82765,-7.33722221,-47.45972222,182.94,9.0,139.9,158.9,8.1,303.9,2.3,1.0,3.0,1015.2,991.3,35.8,27.8,20.6,58.6,5.0,1.5,70.0
01/01/2012,31/10/2024,31/08/2012,Mensal,CAROLINA,Operante,82765,-7.33722221,-47.45972222,182.94,9.0,182.8,178.1,3.6,317.9,2.2,2.0,2.5,1015.9,992.0,36.7,28.7,21.4,47.7,7.0,2.2,68.7
01/01/2012,31/10/2024,30/09/2012,Mensal,CAROLINA,Operante,82765,-7.33722221,-47.45972222,182.94,0.0,166.8,208.0,13.5,250.5,3.5,4.0,13.3,1014.6,990.8,37.6,30.1,23.7,52.6,6.6,1.4,66.5
01/01/2012,31/10/2024,31/10/2012,Mensal,CAROLINA,Operante,82765,-7.33722221,-47.45972222,182.94,0.0,118.9,191.3,127.0,210.4,5.6,10.0,125.0,1012.4,988.7,34.8,28.8,24.4,68.0,5.0,1.6,63.2
01/01/2012,31/10/2024,30/11/2012,Mensal,CAROLINA,Operante,82765,-7.33722221,-47.45972222,182.94,0.0,55.4,147.3,147.3,105.5,8.1,16.0,186.1,1012.5,988.7,31.6,26.9,23.8,83.4,4.0,1.0,67.4
01/01/2012,31/10/2024,31/12/2012,Mensal,CAROLINA,Operante,82765,-7.33722221,-47.45972222,182.94,0.0,51.8,149.2,149.2,148.6,7.3,22.0,268.4,1012.7,988.5,32.1,26.8,23.2,83.0,3.3,0.8,68.2
01/01/2012,31/10/2024,31/01/2013,Mensal,CAROLINA,Operante,82765,-7.33722221,-47.45972222,182.94,0.0,44.7,137.1,137.1,122.9,8.2,23.0,590.2,1013.8,989.8,31.2,26.2,23.0,86.1,4.1,0.9,68.1
01/01/2012,31/10/2024,28/02/2013,Mensal,CAROLINA,Operante,82765,-7.33722221,-47.45972222,182.94,0.0,42.8,127.5,127.5,117.9,7.9,16.0,130.4,1012.8,988.9,31.8,26.5,23.3,84.1,6.3,1.0,68.8
01/01/2012,31/10/2024,31/03/2013,Mensal,CAROLINA,Operante,82765,-7.33722221,-47.45972222,182.94,0.0,41.3,140.9,140.9,138.0,7.7,2.0,307.6,1013.6,989.6,31.6,26.6,23.3,87.0,4.1,1.0,69.7
01/01/2012,31/10/2024,30/04/2013,Mensal,CAROLINA,Operante,82765,-7.33722221,-47.45972222,182.94,0.0,53.4,147.0,132.6,186.0,6.8,,104.5,1014.0,990.2,32.5,27.3,23.9,82.5,3.3,0.9,69.9
