Data_Inicial,Data_Final,Data_Medicao,Periodicidade_Medicao,Local_Nome_Estacao,Situacao,Codigo_Estacao,Latitude,Longitude,Altitude,Direcao_Vento_Predominante_Mensal_graus,Evaporacao_Piche_Mensal_mm,Evapotranspiracao_Potencial_BH_Mensal_mm,Evapotranspiracao_Real_BH_Mensal_mm,Insolacao_Total_Mensal_horas,Nebulosidade_Media_Mensal_decimos,Numero_de_dias_com_precip_pluv_mensal,Precipitacao_total_mensal_mm,Pressao_atmosferica_nivel_mar_media_mensal_mB,Pressao_atmosferica_media_mensal_mB,Temperatura_maxima_media_mensal_Celsius,Temperatura_media_compensada_mensal_Celsius,Temperatura_minima_media_mensal_Celsius,Umidade_relativa_ar_media_mensal_percentual,VENTO_velocidade_MAXIMA_mensal_metros_seg,VENTO_velocidade_MEDIA_mensal_metros_seg,Visibilidade_media_mensal_codigo
01/01/2012,31/10/2024,31/01/2012,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,9.0,121.1,135.5,17.3,211.2,6.5,7.0,17.3,1013.0,916.8,27.4,21.2,16.7,81.1,5.2,2.4,63.5
01/01/2012,31/10/2024,29/02/2012,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,9.0,137.0,123.6,29.3,204.1,5.7,10.0,29.3,1012.8,916.8,27.7,21.2,16.2,78.3,5.0,2.1,63.7
01/01/2012,31/10/2024,31/03/2012,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,14.0,156.3,131.4,12.2,227.6,5.6,2.0,12.2,1012.6,917.0,29.0,22.1,16.9,75.0,4.5,2.0,65.1
01/01/2012,31/10/2024,30/04/2012,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,9.0,158.4,124.0,1.7,252.1,4.0,3.0,1.7,1012.6,917.0,29.5,21.8,16.1,72.9,4.7,2.2,64.4
01/01/2012,31/10/2024,31/05/2012,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,14.0,95.9,116.8,30.2,147.5,6.5,11.0,30.2,1016.1,919.2,25.1,19.3,15.4,84.2,4.3,2.0,61.6
01/01/2012,31/10/2024,30/06/2012,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,14.0,97.7,113.6,22.2,192.2,5.9,10.0,22.2,1017.2,920.2,25.4,19.2,15.0,82.4,4.7,1.9,64.7
01/01/2012,31/10/2024,31/07/2012,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,14.0,103.3,113.9,18.0,210.5,6.1,11.0,18.0,1018.5,920.8,23.8,17.8,13.0,81.5,5.0,2.2,63.9
01/01/2012,31/10/2024,31/08/2012,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,14.0,105.0,113.5,55.1,208.9,6.9,18.0,55.3,1020.5,922.4,23.0,17.2,12.9,82.4,6.3,3.0,64.0
01/01/2012,31/10/2024,30/09/2012,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,9.0,147.9,118.8,6.7,216.5,5.6,4.0,6.7,1017.9,920.8,26.1,19.2,14.0,81.4,5.0,2.7,65.2
01/01/2012,31/10/2024,31/10/2012,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,9.0,158.9,128.2,48.1,257.4,5.7,6.0,48.4,1014.5,918.1,27.3,20.4,15.2,80.6,5.0,2.6,64.4
01/01/2012,31/10/2024,30/11/2012,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,0.0,72.1,131.5,131.5,76.7,8.6,18.0,258.4,1011.4,916.3,26.1,21.3,17.5,91.2,4.7,1.4,61.7
01/01/2012,31/10/2024,31/12/2012,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,9.0,160.9,140.7,78.5,295.5,4.3,3.0,4.0,1011.0,915.7,29.5,22.3,16.3,81.6,4.5,1.8,64.5
01/01/2012,31/10/2024,31/01/2013,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,5.0,148.4,140.4,104.6,190.9,6.8,9.0,95.4,1011.8,916.5,28.9,22.4,17.3,83.3,4.3,2.1,63.9
01/01/2012,31/10/2024,28/02/2013,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,9.0,116.8,120.9,72.2,219.1,5.8,8.0,65.1,1012.4,916.8,27.8,21.6,16.3,84.3,4.8,2.8,63.8
01/01/2012,31/10/2024,31/03/2013,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,9.0,157.7,134.2,8.9,245.3,5.3,,2.1,1011.8,916.7,30.1,22.8,16.7,83.0,5.0,2.6,62.5
01/01/2012,31/10/2024,30/04/2013,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,14.0,84.2,119.4,58.6,154.5,7.6,,59.3,1014.1,917.9,26.2,20.7,16.2,88.3,4.3,1.7,63.2
01/01/2012,31/10/2024,31/05/2013,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,14.0,87.4,118.8,12.3,195.0,6.1,,11.4,1015.3,918.9,25.7,20.0,15.2,87.2,5.2,1.6,63.1
01/01/2012,31/10/2024,30/06/2013,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,14.0,63.5,111.7,35.5,152.9,6.8,,35.3,1017.2,920.1,24.0,18.7,14.5,89.5,4.0,1.7,59.0
01/01/2012,31/10/2024,31/07/2013,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,14.0,87.8,115.4,17.2,194.8,5.7,,17.1,1019.3,921.2,23.8,17.9,13.2,86.7,5.7,2.0,62.9
01/01/2012,31/10/2024,31/08/2013,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,9.0,110.4,117.0,20.4,172.8,6.7,,20.4,1018.9,920.7,23.8,17.9,12.9,83.7,5.3,2.6,63.5
01/01/2012,31/10/2024,30/09/2013,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,9.0,124.6,119.1,20.7,204.0,6.5,,20.8,1018.0,919.8,26.2,19.5,14.3,81.2,7.3,2.9,62.4
01/01/2012,31/10/2024,31/10/2013,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,14.0,142.1,127.3,29.3,188.4,6.5,,29.3,1016.0,918.5,26.6,20.0,14.3,77.0,5.3,2.8,63.4
01/01/2012,31/10/2024,30/11/2013,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,9.0,151.1,130.7,33.2,203.6,6.9,,33.2,1012.9,916.1,28.2,21.3,15.3,71.9,6.3,2.7,63.7
01/01/2012,31/10/2024,31/12/2013,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,5.0,88.7,139.0,139.0,139.8,7.8,,232.7,1011.7,915.3,27.6,21.9,17.0,79.5,5.3,1.6,62.4
01/01/2012,31/10/2024,31/01/2014,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,9.0,105.9,133.0,108.0,235.3,6.2,,59.0,1014.6,917.8,27.0,20.7,15.4,78.3,4.7,2.1,63.4
01/01/2012,31/10/2024,28/02/2014,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,9.0,105.8,118.4,60.9,205.1,6.5,,30.2,1013.9,917.0,27.3,20.8,15.0,76.6,5.0,2.2,63.5
01/01/2012,31/10/2024,31/03/2014,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,14.0,112.1,129.6,48.9,205.0,6.9,,37.1,1014.0,917.2,27.9,21.4,16.1,77.6,5.0,2.1,63.4
01/01/2012,31/10/2024,30/04/2014,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,14.0,117.2,121.2,33.7,229.0,5.7,,29.0,1014.3,917.4,27.9,21.2,15.5,73.7,4.2,1.7,63.1
01/01/2012,31/10/2024,31/05/2014,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,14.0,118.7,118.4,17.6,217.1,5.4,,15.6,1016.2,918.6,26.3,19.9,14.1,74.5,5.0,1.6,61.9
01/01/2012,31/10/2024,30/06/2014,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,14.0,79.7,110.2,34.6,150.1,6.5,,38.2,1018.8,920.5,23.8,18.3,13.3,81.1,4.2,1.9,54.4
01/01/2012,31/10/2024,31/07/2014,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,14.0,93.8,112.7,26.0,156.9,6.9,,25.9,1021.3,922.4,23.2,17.6,12.3,80.6,5.0,2.6,60.1
01/01/2012,31/10/2024,31/08/2014,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,9.0,137.8,115.8,4.9,247.8,5.1,,4.8,1020.2,921.4,24.6,17.8,11.8,71.8,5.2,2.6,64.1
01/01/2012,31/10/2024,30/09/2014,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,9.0,167.2,119.8,4.4,230.0,6.3,,5.1,1018.0,920.4,26.9,19.5,13.2,69.1,7.0,2.9,62.2
01/01/2012,31/10/2024,31/10/2014,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,9.0,165.5,127.3,49.9,211.8,6.1,,50.5,1016.6,919.1,27.0,20.1,13.8,69.3,6.7,3.1,61.2
01/01/2012,31/10/2024,30/11/2014,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,14.0,97.6,128.3,128.3,178.0,7.4,,207.0,1013.8,916.8,26.4,20.5,15.2,78.9,4.7,1.9,60.9
01/01/2012,31/10/2024,31/12/2014,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,9.0,86.1,134.0,134.0,193.2,6.9,,167.0,1014.2,917.3,26.7,20.6,15.0,80.7,5.0,2.1,61.7
01/01/2012,31/10/2024,31/01/2015,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,9.0,131.1,135.2,79.5,262.1,5.2,,7.4,1014.9,918.2,28.2,21.2,15.3,73.4,5.7,2.6,64.4
01/01/2012,31/10/2024,28/02/2015,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,9.0,103.7,118.8,107.1,199.8,6.8,,103.0,1014.1,917.5,27.7,21.1,14.1,77.1,5.0,2.2,61.8
01/01/2012,31/10/2024,31/03/2015,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,14.0,102.4,129.6,68.0,221.6,6.5,6.0,55.5,1013.6,917.1,28.5,21.6,17.0,76.0,4.2,1.4,63.3
01/01/2012,31/10/2024,30/04/2015,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,14.0,109.0,122.6,61.0,167.9,6.7,,55.3,1013.7,917.4,27.8,21.7,16.0,75.2,4.3,1.6,62.7
01/01/2012,31/10/2024,31/05/2015,Mensal,VITORIA DA CONQUISTA,Operante,83344,-14.88638888,-40.80138888,879.47,14.0,66.1,115.8,31.4,161.3,7.2,,28.7,1016.9,919.7,24.6,19.1,14.3,83.2,5.5,1.8,58.3
