Data_Inicial,Data_Final,Data_Medicao,Periodicidade_Medicao,Local_Nome_Estacao,Situacao,Codigo_Estacao,Latitude,Longitude,Altitude,Direcao_Vento_Predominante_Mensal_graus,Evaporacao_Piche_Mensal_mm,Evapotranspiracao_Potencial_BH_Mensal_mm,Evapotranspiracao_Real_BH_Mensal_mm,Insolacao_Total_Mensal_horas,Nebulosidade_Media_Mensal_decimos,Numero_de_dias_com_precip_pluv_mensal,Precipitacao_total_mensal_mm,Pressao_atmosferica_nivel_mar_media_mensal_mB,Pressao_atmosferica_media_mensal_mB,Temperatura_maxima_media_mensal_Celsius,Temperatura_media_compensada_mensal_Celsius,Temperatura_minima_media_mensal_Celsius,Umidade_relativa_ar_media_mensal_percentual,VENTO_velocidade_MAXIMA_mensal_metros_seg,VENTO_velocidade_MEDIA_mensal_metros_seg,Visibilidade_media_mensal_codigo
01/01/2012,31/10/2024,31/01/2012,Mensal,PETROLINA,Operante,82983,-9.3886111,-40.52333332,372.54,14.0,428.0,204.8,28.9,281.6,6.3,2.0,28.9,1009.6,968.8,34.5,29.1,24.0,54.2,6.7,2.8,20.3
01/01/2012,31/10/2024,29/02/2012,Mensal,PETROLINA,Operante,82983,-9.3886111,-40.52333332,372.54,14.0,324.9,157.6,85.2,246.4,7.1,6.0,85.2,1010.2,969.1,33.0,27.8,23.0,57.4,5.0,2.7,20.0
01/01/2012,31/10/2024,31/03/2012,Mensal,PETROLINA,Operante,82983,-9.3886111,-40.52333332,372.54,14.0,425.2,200.2,0.2,317.8,5.3,1.0,0.2,1009.9,969.2,34.9,29.3,23.8,46.5,4.7,2.7,20.8
01/01/2012,31/10/2024,30/04/2012,Mensal,PETROLINA,Operante,82983,-9.3886111,-40.52333332,372.54,14.0,417.7,180.1,0.0,297.2,3.9,0.0,0.0,1010.3,969.3,34.4,28.8,23.5,46.1,5.0,2.9,20.8
01/01/2012,31/10/2024,31/05/2012,Mensal,PETROLINA,Operante,82983,-9.3886111,-40.52333332,372.54,14.0,375.9,148.2,0.4,283.4,4.7,1.0,0.4,1012.5,971.3,32.3,27.3,22.8,52.7,4.7,2.9,20.0
01/01/2012,31/10/2024,30/06/2012,Mensal,PETROLINA,Operante,82983,-9.3886111,-40.52333332,372.54,14.0,331.2,123.9,2.3,262.9,4.2,3.0,2.3,1014.2,972.9,31.5,26.3,21.6,53.5,5.0,3.0,20.0
01/01/2012,31/10/2024,31/07/2012,Mensal,PETROLINA,Operante,82983,-9.3886111,-40.52333332,372.54,14.0,315.3,103.7,1.2,265.0,5.3,2.0,1.2,1015.2,973.6,30.1,24.8,20.3,57.6,5.0,3.0,19.6
01/01/2012,31/10/2024,31/08/2012,Mensal,PETROLINA,Operante,82983,-9.3886111,-40.52333332,372.54,14.0,349.5,103.9,1.8,278.6,4.6,2.0,1.8,1016.5,974.8,30.3,24.7,19.9,52.8,5.0,3.4,20.0
01/01/2012,31/10/2024,30/09/2012,Mensal,PETROLINA,Operante,82983,-9.3886111,-40.52333332,372.54,14.0,441.6,138.6,0.0,299.2,3.9,0.0,0.0,1014.7,973.4,32.7,26.8,21.1,47.1,7.7,3.5,20.8
01/01/2012,31/10/2024,31/10/2012,Mensal,PETROLINA,Operante,82983,-9.3886111,-40.52333332,372.54,14.0,476.3,176.3,0.0,317.0,3.9,0.0,0.0,1011.5,970.4,33.8,28.2,22.2,49.2,5.0,3.3,20.0
01/01/2012,31/10/2024,30/11/2012,Mensal,PETROLINA,Operante,82983,-9.3886111,-40.52333332,372.54,14.0,402.2,202.3,19.3,237.6,6.6,4.0,19.3,1008.8,968.2,34.7,29.3,24.7,53.0,5.0,2.7,20.0
01/01/2012,31/10/2024,31/12/2012,Mensal,PETROLINA,Operante,82983,-9.3886111,-40.52333332,372.54,14.0,482.7,218.8,1.8,297.3,5.2,1.0,1.8,1008.8,968.2,35.0,29.7,24.4,48.6,5.0,2.7,20.0
01/01/2012,31/10/2024,31/01/2013,Mensal,PETROLINA,Operante,82983,-9.3886111,-40.52333332,372.54,14.0,374.1,207.4,30.0,232.0,6.9,4.0,30.0,1011.0,970.2,34.4,29.4,24.7,59.1,5.3,2.4,20.0
01/01/2012,31/10/2024,28/02/2013,Mensal,PETROLINA,Operante,82983,-9.3886111,-40.52333332,372.54,14.0,443.8,208.6,0.0,287.3,5.3,0.0,0.0,1009.2,968.6,35.4,30.2,24.6,45.1,5.0,3.0,20.0
01/01/2012,31/10/2024,31/03/2013,Mensal,PETROLINA,Operante,82983,-9.3886111,-40.52333332,372.54,14.0,443.4,226.5,54.8,277.3,5.5,3.0,54.8,1009.5,968.9,35.4,30.3,25.0,48.0,5.0,2.7,20.0
