Data_Inicial,Data_Final,Data_Medicao,Periodicidade_Medicao,Local_Nome_Estacao,Situacao,Codigo_Estacao,Latitude,Longitude,Altitude,Direcao_Vento_Predominante_Mensal_graus,Evaporacao_Piche_Mensal_mm,Evapotranspiracao_Potencial_BH_Mensal_mm,Evapotranspiracao_Real_BH_Mensal_mm,Insolacao_Total_Mensal_horas,Nebulosidade_Media_Mensal_decimos,Numero_de_dias_com_precip_pluv_mensal,Precipitacao_total_mensal_mm,Pressao_atmosferica_nivel_mar_media_mensal_mB,Pressao_atmosferica_media_mensal_mB,Temperatura_maxima_media_mensal_Celsius,Temperatura_media_compensada_mensal_Celsius,Temperatura_minima_media_mensal_Celsius,Umidade_relativa_ar_media_mensal_percentual,VENTO_velocidade_MAXIMA_mensal_metros_seg,VENTO_velocidade_MEDIA_mensal_metros_seg,Visibilidade_media_mensal_codigo
01/01/2012,31/10/2024,31/01/2012,Mensal,MACAPA,Operante,82098,-0.04499999,-51.11,12.8,5.0,65.3,137.4,137.4,155.0,8.0,20.0,206.6,1010.4,1008.6,31.6,26.8,23.5,81.5,6.0,1.6,54.0
01/01/2012,31/10/2024,29/02/2012,Mensal,MACAPA,Operante,82098,-0.04499999,-51.11,12.8,0.0,45.5,117.9,117.9,126.9,8.4,21.0,381.6,1010.3,1008.5,30.2,26.0,22.6,84.2,4.2,1.4,53.0
01/01/2012,31/10/2024,31/03/2012,Mensal,MACAPA,Operante,82098,-0.04499999,-51.11,12.8,0.0,43.3,131.6,131.6,147.3,8.5,27.0,465.9,1010.9,1009.1,30.6,26.1,23.0,86.0,5.0,1.3,52.3
01/01/2012,31/10/2024,30/04/2012,Mensal,MACAPA,Operante,82098,-0.04499999,-51.11,12.8,7.0,46.7,142.6,142.6,160.4,8.3,24.0,273.7,1010.6,1008.9,31.6,27.0,23.6,84.7,5.8,1.2,53.8
01/01/2012,31/10/2024,31/05/2012,Mensal,MACAPA,Operante,82098,-0.04499999,-51.11,12.8,7.0,71.4,166.6,166.6,244.9,7.2,19.0,256.9,1011.3,1009.6,32.3,27.6,23.7,79.0,5.8,1.6,53.9
01/01/2012,31/10/2024,30/06/2012,Mensal,MACAPA,Operante,82098,-0.04499999,-51.11,12.8,0.0,71.8,152.7,150.3,255.5,5.9,17.0,130.2,1012.5,1010.8,32.4,27.5,23.4,78.4,4.8,1.5,54.1
01/01/2012,31/10/2024,31/07/2012,Mensal,MACAPA,Operante,82098,-0.04499999,-51.11,12.8,0.0,60.6,164.3,164.3,243.8,7.3,25.0,214.0,1012.0,1010.3,32.7,27.3,24.2,81.2,4.5,1.1,53.7
01/01/2012,31/10/2024,31/08/2012,Mensal,MACAPA,Operante,82098,-0.04499999,-51.11,12.8,7.0,77.4,168.8,137.2,197.2,6.6,14.0,77.2,1012.6,1010.8,32.8,27.8,24.2,77.0,5.1,2.0,54.5
01/01/2012,31/10/2024,30/09/2012,Mensal,MACAPA,Operante,82098,-0.04499999,-51.11,12.8,7.0,112.2,174.6,42.3,287.6,4.9,3.0,10.0,1012.5,1010.7,33.4,28.5,23.9,70.8,5.0,3.0,55.7
01/01/2012,31/10/2024,31/10/2012,Mensal,MACAPA,Operante,82098,-0.04499999,-51.11,12.8,7.0,129.9,190.1,16.0,289.0,5.2,2.0,9.6,1010.4,1008.6,33.9,28.9,24.3,68.4,5.8,3.7,55.9
