Data_Inicial,Data_Final,Data_Medicao,Periodicidade_Medicao,Local_Nome_Estacao,Situacao,Codigo_Estacao,Latitude,Longitude,Altitude,Direcao_Vento_Predominante_Mensal_graus,Evaporacao_Piche_Mensal_mm,Evapotranspiracao_Potencial_BH_Mensal_mm,Evapotranspiracao_Real_BH_Mensal_mm,Insolacao_Total_Mensal_horas,Nebulosidade_Media_Mensal_decimos,Numero_de_dias_com_precip_pluv_mensal,Precipitacao_total_mensal_mm,Pressao_atmosferica_nivel_mar_media_mensal_mB,Pressao_atmosferica_media_mensal_mB,Temperatura_maxima_media_mensal_Celsius,Temperatura_media_compensada_mensal_Celsius,Temperatura_minima_media_mensal_Celsius,Umidade_relativa_ar_media_mensal_percentual,VENTO_velocidade_MAXIMA_mensal_metros_seg,VENTO_velocidade_MEDIA_mensal_metros_seg,Visibilidade_media_mensal_codigo
01/01/2012,31/10/2024,31/01/2012,Mensal,BELEM,Operante,82191,-1.43583333,-48.43722221,7.13,9,38.3,137.7,137.7,166.3,7.1,27.0,451.2,1009.5,1009.0,31.4,26.4,23.0,87.3,2.6,1.0,46.0
01/01/2012,31/10/2024,29/02/2012,Mensal,BELEM,Operante,82191,-1.43583333,-48.43722221,7.13,0,30.6,116.9,116.9,118.9,8.6,29.0,411.9,1009.4,1008.9,30.4,25.7,22.7,90.1,3.0,0.7,45.6
01/01/2012,31/10/2024,31/03/2012,Mensal,BELEM,Operante,82191,-1.43583333,-48.43722221,7.13,0,20.6,129.8,129.8,135.2,8.2,31.0,742.5,1010.2,1009.7,30.9,26.0,22.9,90.7,4.6,0.7,44.7
01/01/2012,31/10/2024,30/04/2012,Mensal,BELEM,Operante,82191,-1.43583333,-48.43722221,7.13,9,29.5,139.3,139.3,177.8,8.1,26.0,382.8,1009.9,1009.3,32.0,26.8,23.2,87.4,6.8,1.2,46.3
01/01/2012,31/10/2024,31/05/2012,Mensal,BELEM,Operante,82191,-1.43583333,-48.43722221,7.13,9,51.7,143.5,143.5,244.6,6.3,23.0,225.1,1010.7,1010.2,32.5,26.8,22.4,83.4,5.3,1.2,50.2
01/01/2012,31/10/2024,30/06/2012,Mensal,BELEM,Operante,82191,-1.43583333,-48.43722221,7.13,0,44.6,133.3,133.3,245.7,6.1,27.0,320.0,1012.0,1011.5,32.3,26.5,22.1,84.1,3.3,1.1,50.5
01/01/2012,31/10/2024,31/07/2012,Mensal,BELEM,Operante,82191,-1.43583333,-48.43722221,7.13,9,56.0,143.4,143.4,251.2,6.0,24.0,313.2,1011.5,1011.0,32.4,26.7,22.3,82.5,3.5,1.2,51.5
01/01/2012,31/10/2024,31/08/2012,Mensal,BELEM,Operante,82191,-1.43583333,-48.43722221,7.13,9,47.7,145.6,140.6,264.9,5.5,15.0,112.2,1012.2,1011.6,32.7,27.0,22.2,79.7,3.5,1.5,54.4
01/01/2012,31/10/2024,30/09/2012,Mensal,BELEM,Operante,82191,-1.43583333,-48.43722221,7.13,9,62.0,143.2,143.2,241.9,5.6,17.0,197.0,1012.2,1011.6,32.9,27.0,22.1,80.1,3.1,1.6,52.6
01/01/2012,31/10/2024,31/10/2012,Mensal,BELEM,Operante,82191,-1.43583333,-48.43722221,7.13,5,65.8,158.4,112.4,224.8,5.9,12.0,44.3,1009.8,1009.2,33.1,27.6,23.1,77.4,4.1,1.5,51.8
01/01/2012,31/10/2024,30/11/2012,Mensal,BELEM,Operante,82191,-1.43583333,-48.43722221,7.13,9,68.4,157.7,116.5,220.8,5.6,10.0,103.0,1009.1,1008.7,33.3,27.7,23.0,77.0,3.3,1.7,48.8
01/01/2012,31/10/2024,31/12/2012,Mensal,BELEM,Operante,82191,-1.43583333,-48.43722221,7.13,9,56.4,151.1,151.1,193.1,7.7,25.0,259.8,1008.9,1008.4,33.1,27.2,23.0,83.0,3.3,1.3,47.5
01/01/2012,31/10/2024,31/01/2013,Mensal,BELEM,Operante,82191,-1.43583333,-48.43722221,7.13,9,41.7,151.0,151.0,151.1,7.8,28.0,372.7,1010.1,1009.6,32.4,27.0,23.3,85.9,3.6,1.0,45.0
01/01/2012,31/10/2024,28/02/2013,Mensal,BELEM,Operante,82191,-1.43583333,-48.43722221,7.13,0,34.6,127.4,127.4,115.5,8.5,27.0,612.5,1009.3,1008.7,31.9,26.7,23.2,86.9,5.5,1.0,42.9
01/01/2012,31/10/2024,31/03/2013,Mensal,BELEM,Operante,82191,-1.43583333,-48.43722221,7.13,5,38.2,148.2,148.2,125.3,8.2,29.0,532.3,1010.0,1009.5,31.8,27.0,23.4,87.8,3.3,0.9,44.7
01/01/2012,31/10/2024,30/04/2013,Mensal,BELEM,Operante,82191,-1.43583333,-48.43722221,7.13,0,37.4,144.8,144.8,156.4,8.0,28.0,527.0,1010.6,1010.1,32.7,27.1,23.1,87.0,2.8,0.8,46.6
01/01/2012,31/10/2024,31/05/2013,Mensal,BELEM,Operante,82191,-1.43583333,-48.43722221,7.13,0,42.7,149.2,149.2,199.8,7.2,11.0,409.6,1010.9,1010.4,33.0,27.1,22.8,83.8,3.6,1.0,50.1
01/01/2012,31/10/2024,30/06/2013,Mensal,BELEM,Operante,82191,-1.43583333,-48.43722221,7.13,9,50.4,148.0,148.0,230.5,5.4,,150.5,1011.4,1010.8,33.4,27.3,22.6,80.6,2.8,1.2,55.2
01/01/2012,31/10/2024,31/07/2013,Mensal,BELEM,Operante,82191,-1.43583333,-48.43722221,7.13,9,58.5,180.2,180.2,222.8,5.8,,220.8,1012.3,1011.7,32.7,26.8,22.0,80.9,3.3,1.2,52.1
01/01/2012,31/10/2024,31/08/2013,Mensal,BELEM,Operante,82191,-1.43583333,-48.43722221,7.13,9,49.4,153.4,153.4,233.4,5.9,,245.5,1011.0,1010.4,33.3,27.3,23.1,80.3,3.3,1.4,52.4
01/01/2012,31/10/2024,30/09/2013,Mensal,BELEM,Operante,82191,-1.43583333,-48.43722221,7.13,5,43.5,150.8,143.7,177.5,6.0,,110.4,1011.0,1010.4,33.3,27.5,23.1,80.1,4.0,1.6,51.8
01/01/2012,31/10/2024,31/10/2013,Mensal,BELEM,Operante,82191,-1.43583333,-48.43722221,7.13,5,62.9,160.4,119.6,195.4,5.4,,83.9,1010.4,1009.9,33.2,27.6,23.2,78.5,4.5,1.7,53.5
01/01/2012,31/10/2024,30/11/2013,Mensal,BELEM,Operante,82191,-1.43583333,-48.43722221,7.13,5,55.6,147.9,147.9,193.8,6.6,,210.7,1008.6,1008.1,32.8,27.2,23.4,81.1,3.3,1.3,50.4
01/01/2012,31/10/2024,31/12/2013,Mensal,BELEM,Operante,82191,-1.43583333,-48.43722221,7.13,5,55.2,153.0,153.0,215.3,6.9,,299.7,1009.4,1008.9,32.6,27.2,23.3,82.3,3.6,1.4,49.8
01/01/2012,31/10/2024,31/01/2014,Mensal,BELEM,Operante,82191,-1.43583333,-48.43722221,7.13,5,47.0,147.1,147.1,165.3,7.2,,406.9,1010.3,1009.9,31.6,26.5,23.2,84.6,3.3,1.0,48.8
01/01/2012,31/10/2024,28/02/2014,Mensal,BELEM,Operante,82191,-1.43583333,-48.43722221,7.13,0,28.3,120.8,120.8,110.0,8.9,,602.9,1009.5,1009.0,31.0,26.2,23.6,89.8,4.0,0.8,45.4
01/01/2012,31/10/2024,31/03/2014,Mensal,BELEM,Operante,82191,-1.43583333,-48.43722221,7.13,0,34.3,144.4,144.4,150.3,8.5,,562.7,1010.5,1009.8,31.3,26.5,23.7,88.8,4.3,0.9,47.4
01/01/2012,31/10/2024,30/04/2014,Mensal,BELEM,Operante,82191,-1.43583333,-48.43722221,7.13,0,33.5,137.4,137.4,152.0,7.9,,561.2,1010.7,1010.2,31.6,26.7,23.6,88.2,3.5,0.8,47.6
01/01/2012,31/10/2024,31/05/2014,Mensal,BELEM,Operante,82191,-1.43583333,-48.43722221,7.13,0,39.4,143.5,143.5,154.2,7.6,,332.9,1010.8,1010.3,31.8,26.8,23.3,86.8,2.5,0.8,48.6
01/01/2012,31/10/2024,30/06/2014,Mensal,BELEM,Operante,82191,-1.43583333,-48.43722221,7.13,9,46.3,144.2,144.2,206.1,6.2,,285.8,1011.2,1010.9,32.6,27.0,23.1,84.0,3.1,1.1,51.6
