Nome: MOCAMBINHO
Codigo Estacao: 83389
Latitude: -15.086015
Longitude: -44.016223
Altitude: 453.62
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2012-07-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;109.4;146.1;100.6;214;7.1;7;85.2;960.9;30.9;24.8;19.8;73.6;2.1;.6;70;null;
2012-02-29;0;null;135.7;41.1;258.4;5.7;7;29.9;960.8;32.6;25.4;20;65.1;3.1;.8;70;null;
2012-03-31;23;155.5;138;70.4;271.6;4.6;9;67.4;960.8;33.7;26.2;20.4;62.9;2.3;.8;69.7;null;
2012-04-30;23;154;132.9;8.4;287.3;3.8;1;6.3;960.7;34.6;26.1;19.3;58.8;4.6;1;70;null;
2012-05-31;9;138.1;125.2;23.6;221.4;5.3;4;23.1;963.3;31.5;23.9;17.9;61.1;2.1;1.1;70;null;
2012-06-30;9;147.7;121.3;4;278.1;2.7;1;3.8;964.4;31.9;23.5;16.5;58;2.1;.7;70;null;
2012-07-31;9;null;null;null;299.2;2.3;null;0;965;31.4;22.3;14.8;55;2.1;.7;70;null;

