Nome: ITUMBIARA
Codigo Estacao: 83523
Latitude: -18.40972222
Longitude: -49.19194444
Altitude: 491.55
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2012-05-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;108.3;null;null;140.7;7;null;null;null;30.5;null;null;77.7;5;1.2;70.5;null;
2012-02-29;0;115.7;null;null;236.8;5.3;null;null;null;32;null;null;69.3;10;1.6;72.9;null;
2012-03-31;0;65.5;null;null;237;4.8;null;null;null;32.1;null;null;69.7;7;1.4;70.8;null;
2012-04-30;0;48.5;null;null;198.6;4.1;3;null;null;31.5;null;null;73.6;5;1.2;74.4;null;
2012-05-31;0;93.2;null;null;234.4;3.1;3;14.5;null;28.6;null;null;71.9;7;1.6;74.3;null;

