Nome: PRESIDENTE PRUDENTE
Codigo Estacao: 83716
Latitude: -22.119874
Longitude: -51.408624
Altitude: 431.97
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2012-05-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;9;107.5;125.3;125.3;null;5.8;14;225.6;1010.2;961.6;30.2;24.8;21.1;null;4.3;1.8;60;
2012-02-29;5;null;149.3;149.2;null;4.6;9;146.6;1010.5;962.2;32.8;27;22.5;null;3.3;1.4;60;
2012-03-31;9;null;null;null;null;3;6;137.5;1011.8;963.4;31.5;25.6;21;null;3.3;1.3;60;
2012-04-30;null;null;null;null;null;null;3;null;null;964;31.7;null;20.9;null;4.1;null;null;
2012-05-31;null;null;67;67;null;null;4;null;null;966.3;26.2;null;17.5;null;4.5;null;null;

