Tipo_Estacao,Data_Inicial,Data_Final,Data_Medicao,Periodicidade_Medicao,Local_Nome_Estacao,Situacao,Codigo_Estacao,Latitude,Longitude,Altitude,Direcao_Vento_Predominante_Mensal_graus,Evaporacao_Piche_Mensal_mm,Evapotranspiracao_Potencial_BH_Mensal_mm,Evapotranspiracao_Real_BH_Mensal_mm,Insolacao_Total_Mensal_horas,Nebulosidade_Media_Mensal_decimos,Numero_de_dias_com_precip_pluv_mensal,Numero_de_dias_com_precip_pluv_mensal_auto_em_numero,Precipitacao_total_mensal_auto_em_mm,Precipitacao_total_mensal_mm,Pressao_atmosferica_media_mensal_auto_em_mB,Pressao_atmosferica_media_mensal_mB,Pressao_atmosferica_nivel_mar_media_mensal_mB,Temperatura_maxima_media_mensal_Celsius,Temperatura_media_compensada_mensal_Celsius,Temperatura_media_mensal_auto_Celsius,Temperatura_minima_media_mensal_Celsius,Umidade_relativa_ar_media_mensal_percentual,VENTO_velocidade_MAXIMA_mensal_auto_em_metros_seg,VENTO_velocidade_MAXIMA_mensal_metros_seg,VENTO_velocidade_MEDIA_mensal_auto_em_metros_seg,VENTO_velocidade_MEDIA_mensal_metros_seg,Visibilidade_media_mensal_codigo
automatica,01/01/2012,31/10/2024,31/01/2014,Mensal,BRASILIA,Operante,A025,-1578944444.0,-4792583332.0,1160.96,,,,,,,,10.0,135.8,,886.8,,,,,22.1,,,6.7,,2.4,,
automatica,01/01/2012,31/10/2024,28/02/2014,Mensal,BRASILIA,Operante,A026,-1578944444.0,-4792583332.0,1160.96,,,,,,,,12.0,124.6,,885.9,,,,,21.8,,,5.7,,2.4,,
automatica,01/01/2012,31/10/2024,31/03/2014,Mensal,BRASILIA,Operante,A027,-1578944444.0,-4792583332.0,1160.96,,,,,,,,23.0,303.6,,886.5,,,,,21.2,,,8.4,,2.1,,
automatica,01/01/2012,31/10/2024,30/04/2014,Mensal,BRASILIA,Operante,A028,-1578944444.0,-4792583332.0,1160.96,,,,,,,,16.0,218.0,,887.0,,,,,21.4,,,5.8,,2.0,,
automatica,01/01/2012,31/10/2024,31/05/2014,Mensal,BRASILIA,Operante,A029,-1578944444.0,-4792583332.0,1160.96,,,,,,,,1.0,2.4,,887.8,,,,,20.3,,,5.3,,2.0,,
automatica,01/01/2012,31/10/2024,30/06/2014,Mensal,BRASILIA,Operante,A030,-1578944444.0,-4792583332.0,1160.96,,,,,,,,2.0,7.6,,889.1,,,,,19.4,,,5.2,,1.8,,
automatica,01/01/2012,31/10/2024,31/07/2014,Mensal,BRASILIA,Operante,A031,-1578944444.0,-4792583332.0,1160.96,,,,,,,,2.0,7.0,,890.8,,,,,19.0,,,4.9,,2.0,,
automatica,01/01/2012,31/10/2024,31/08/2014,Mensal,BRASILIA,Operante,A032,-1578944444.0,-4792583332.0,1160.96,,,,,,,,0.0,0.0,,889.4,,,,,21.2,,,6.4,,2.2,,
automatica,01/01/2012,31/10/2024,30/09/2014,Mensal,BRASILIA,Operante,A033,-1578944444.0,-4792583332.0,1160.96,,,,,,,,1.0,14.4,,887.6,,,,,23.8,,,6.4,,2.7,,
automatica,01/01/2012,31/10/2024,31/10/2014,Mensal,BRASILIA,Operante,A034,-1578944444.0,-4792583332.0,1160.96,,,,,,,,11.0,160.0,,886.9,,,,,23.4,,,7.1,,2.6,,
