Data_Inicial,Data_Final,Data_Medicao,Periodicidade_Medicao,Local_Nome_Estacao,Situacao,Codigo_Estacao,Latitude,Longitude,Altitude,Numero_de_dias_com_precip_pluv_mensal_auto_em_numero,Precipitacao_total_mensal_auto_em_mm,Pressao_atmosferica_media_mensal_auto_em_mB,Temperatura_media_mensal_auto_Celsius,VENTO_velocidade_MAXIMA_mensal_auto_em_metros_seg,VENTO_velocidade_MEDIA_mensal_auto_em_metros_seg
2012-01-01,2024-10-31,2012-01-31,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,15.0,378.4,998.2,26.7,6.0,1.9
2012-01-01,2024-10-31,2012-02-29,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,14.0,,998.1,26.0,5.7,1.7
2012-01-01,2024-10-31,2012-03-31,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,24.0,230.4,998.8,26.0,5.8,1.7
2012-01-01,2024-10-31,2012-04-30,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,10.0,33.8,998.5,26.9,4.9,1.7
2012-01-01,2024-10-31,2012-05-31,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,6.0,23.6,999.5,27.1,4.9,1.8
2012-01-01,2024-10-31,2012-06-30,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,5.0,32.4,1000.7,27.1,5.2,1.9
2012-01-01,2024-10-31,2012-07-31,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,1.0,2.0,1000.3,27.4,4.6,1.8
2012-01-01,2024-10-31,2012-08-31,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,,0.0,1001.0,28.0,5.2,1.9
2012-01-01,2024-10-31,2012-09-30,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,1.0,0.4,1000.5,28.5,5.5,2.1
2012-01-01,2024-10-31,2012-10-31,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,1.0,0.2,997.9,29.1,4.9,2.1
2012-01-01,2024-10-31,2012-11-30,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,3.0,71.6,997.5,29.1,4.9,2.1
2012-01-01,2024-10-31,2012-12-31,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,9.0,123.8,997.3,28.4,5.7,2.0
2012-01-01,2024-10-31,2013-01-31,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,12.0,80.0,998.7,27.5,6.0,1.8
2012-01-01,2024-10-31,2013-02-28,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,13.0,189.4,997.7,27.2,5.3,1.9
2012-01-01,2024-10-31,2013-03-31,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,15.0,145.2,998.5,27.0,6.9,1.7
2012-01-01,2024-10-31,2013-04-30,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,,,999.3,26.5,4.8,1.5
2012-01-01,2024-10-31,2013-05-31,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,4.0,,999.7,26.7,3.8,1.5
2012-01-01,2024-10-31,2013-06-30,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,9.0,61.8,1000.4,26.6,5.2,1.6
2012-01-01,2024-10-31,2013-07-31,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,15.0,105.6,1001.2,26.2,6.6,1.7
2012-01-01,2024-10-31,2013-08-31,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,2.0,1.8,999.8,27.5,5.0,1.8
2012-01-01,2024-10-31,2013-09-30,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,1.0,5.6,999.4,28.4,5.4,2.2
2012-01-01,2024-10-31,2013-10-31,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,0.0,0.0,998.7,28.8,5.4,2.3
2012-01-01,2024-10-31,2013-11-30,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,6.0,38.4,997.1,28.1,5.6,2.1
2012-01-01,2024-10-31,2013-12-31,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,7.0,54.2,997.8,28.4,5.4,2.1
2012-01-01,2024-10-31,2014-01-31,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,19.0,284.8,998.9,26.3,5.9,1.9
2012-01-01,2024-10-31,2014-02-28,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,20.0,193.6,998.1,26.3,4.8,1.7
2012-01-01,2024-10-31,2014-03-31,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,19.0,171.2,999.0,26.2,6.1,1.7
2012-01-01,2024-10-31,2014-04-30,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,24.0,293.8,999.4,26.1,5.5,1.5
2012-01-01,2024-10-31,2014-05-31,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,23.0,405.4,999.5,25.9,4.3,1.4
2012-01-01,2024-10-31,2014-06-30,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,12.0,57.0,1000.3,26.5,4.0,1.6
2012-01-01,2024-10-31,2014-07-31,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,3.0,,,,4.4,
2012-01-01,2024-10-31,2014-08-31,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,,,,,4.8,
2012-01-01,2024-10-31,2014-09-30,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,1.0,1.4,1000.1,27.8,5.2,2.1
2012-01-01,2024-10-31,2014-10-31,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,2.0,2.8,998.8,28.5,6.9,2.1
2012-01-01,2024-10-31,2014-11-30,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,,,,,5.6,
2012-01-01,2024-10-31,2014-12-31,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,4.0,,,,5.9,
2012-01-01,2024-10-31,2015-01-31,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,11.0,63.6,999.4,27.5,5.5,2.0
2012-01-01,2024-10-31,2015-02-28,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,18.0,233.6,999.3,26.4,5.5,1.8
2012-01-01,2024-10-31,2015-03-31,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,2.0,,,,,
2012-01-01,2024-10-31,2015-04-30,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,,,,,,
2012-01-01,2024-10-31,2015-05-31,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,,,,,,
2012-01-01,2024-10-31,2015-06-30,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,,,,,,
2012-01-01,2024-10-31,2015-07-31,Mensal,CHAPADINHA,Operante,A206,-3.74277777,-43.35222222,104.0,,,,,,
