Data_Inicial,Data_Final,Data_Medicao,Periodicidade_Medicao,Local_Nome_Estacao,Situacao,Codigo_Estacao,Latitude,Longitude,Altitude,Numero_de_dias_com_precip_pluv_mensal_auto_em_numero,Precipitacao_total_mensal_auto_em_mm,Pressao_atmosferica_media_mensal_auto_em_mB,Temperatura_media_mensal_auto_Celsius,VENTO_velocidade_MAXIMA_mensal_auto_em_metros_seg,VENTO_velocidade_MEDIA_mensal_auto_em_metros_seg
2012-01-01,2024-10-31,2012-01-31,Mensal,SINOP,Operante,A917,-11.98222221,-55.56611111,366.57,31.0,439.2,968.9,23.8,8.7,1.8
2012-01-01,2024-10-31,2012-02-29,Mensal,SINOP,Operante,A917,-11.98222221,-55.56611111,366.57,20.0,380.8,968.9,24.4,7.5,1.7
2012-01-01,2024-10-31,2012-03-31,Mensal,SINOP,Operante,A917,-11.98222221,-55.56611111,366.57,22.0,230.8,969.8,24.8,7.5,1.5
2012-01-01,2024-10-31,2012-04-30,Mensal,SINOP,Operante,A917,-11.98222221,-55.56611111,366.57,20.0,110.2,969.5,25.1,5.1,1.3
2012-01-01,2024-10-31,2012-05-31,Mensal,SINOP,Operante,A917,-11.98222221,-55.56611111,366.57,16.0,54.4,970.9,24.3,5.4,1.5
2012-01-01,2024-10-31,2012-06-30,Mensal,SINOP,Operante,A917,-11.98222221,-55.56611111,366.57,6.0,37.6,971.9,24.8,7.5,1.9
2012-01-01,2024-10-31,2012-07-31,Mensal,SINOP,Operante,A917,-11.98222221,-55.56611111,366.57,0.0,0.0,971.9,24.8,6.2,2.2
2012-01-01,2024-10-31,2012-08-31,Mensal,SINOP,Operante,A917,-11.98222221,-55.56611111,366.57,,0.0,972.0,26.5,6.8,2.6
2012-01-01,2024-10-31,2012-09-30,Mensal,SINOP,Operante,A917,-11.98222221,-55.56611111,366.57,11.0,11.0,970.6,27.4,9.4,2.1
2012-01-01,2024-10-31,2012-10-31,Mensal,SINOP,Operante,A917,-11.98222221,-55.56611111,366.57,13.0,174.2,968.4,26.9,8.6,2.1
2012-01-01,2024-10-31,2012-11-30,Mensal,SINOP,Operante,A917,-11.98222221,-55.56611111,366.57,23.0,229.0,967.9,25.2,8.6,1.9
2012-01-01,2024-10-31,2012-12-31,Mensal,SINOP,Operante,A917,-11.98222221,-55.56611111,366.57,19.0,237.4,968.1,25.1,7.3,1.7
2012-01-01,2024-10-31,2013-01-31,Mensal,SINOP,Operante,A917,-11.98222221,-55.56611111,366.57,25.0,362.2,969.1,24.6,7.6,1.8
2012-01-01,2024-10-31,2013-02-28,Mensal,SINOP,Operante,A917,-11.98222221,-55.56611111,366.57,27.0,406.8,969.0,24.9,6.0,1.7
2012-01-01,2024-10-31,2013-03-31,Mensal,SINOP,Operante,A917,-11.98222221,-55.56611111,366.57,22.0,567.8,969.4,25.5,6.8,1.7
2012-01-01,2024-10-31,2013-04-30,Mensal,SINOP,Operante,A917,-11.98222221,-55.56611111,366.57,8.0,,,,4.6,
2012-01-01,2024-10-31,2013-05-31,Mensal,SINOP,Operante,A917,-11.98222221,-55.56611111,366.57,8.0,66.8,971.0,25.3,4.8,1.6
2012-01-01,2024-10-31,2013-06-30,Mensal,SINOP,Operante,A917,-11.98222221,-55.56611111,366.57,,,971.3,25.9,4.9,1.7
2012-01-01,2024-10-31,2013-07-31,Mensal,SINOP,Operante,A917,-11.98222221,-55.56611111,366.57,3.0,0.6,972.5,25.0,7.4,2.2
2012-01-01,2024-10-31,2013-08-31,Mensal,SINOP,Operante,A917,-11.98222221,-55.56611111,366.57,3.0,0.6,971.1,25.7,8.3,2.6
2012-01-01,2024-10-31,2013-09-30,Mensal,SINOP,Operante,A917,-11.98222221,-55.56611111,366.57,5.0,34.4,970.2,26.8,7.2,2.2
2012-01-01,2024-10-31,2013-10-31,Mensal,SINOP,Operante,A917,-11.98222221,-55.56611111,366.57,16.0,224.4,969.5,26.0,6.8,2.0
2012-01-01,2024-10-31,2013-11-30,Mensal,SINOP,Operante,A917,-11.98222221,-55.56611111,366.57,22.0,216.0,968.1,24.8,13.5,1.8
2012-01-01,2024-10-31,2013-12-31,Mensal,SINOP,Operante,A917,-11.98222221,-55.56611111,366.57,18.0,,,24.5,11.9,
2012-01-01,2024-10-31,2014-01-31,Mensal,SINOP,Operante,A917,-11.98222221,-55.56611111,366.57,7.0,,,,,
2012-01-01,2024-10-31,2014-02-28,Mensal,SINOP,Operante,A917,-11.98222221,-55.56611111,366.57,2.0,,,,,
2012-01-01,2024-10-31,2014-03-31,Mensal,SINOP,Operante,A917,-11.98222221,-55.56611111,366.57,,,,,,
2012-01-01,2024-10-31,2014-04-30,Mensal,SINOP,Operante,A917,-11.98222221,-55.56611111,366.57,,,,,,
2012-01-01,2024-10-31,2014-05-31,Mensal,SINOP,Operante,A917,-11.98222221,-55.56611111,366.57,,,,,,
