Data_Inicial,Data_Final,Data_Medicao,Periodicidade_Medicao,Local_Nome_Estacao,Situacao,Codigo_Estacao,Latitude,Longitude,Altitude,Numero_de_dias_com_precip_pluv_mensal_auto_em_numero,Precipitacao_total_mensal_auto_em_mm,Pressao_atmosferica_media_mensal_auto_em_mB,Temperatura_media_mensal_auto_Celsius,VENTO_velocidade_MAXIMA_mensal_auto_em_metros_seg,VENTO_velocidade_MEDIA_mensal_auto_em_metros_seg
2012-01-01,2024-10-31,2012-01-31,Mensal,BACABAL,Operante,A220,-4.24305555,-44.79499999,22.33,,,,,6.3,
2012-01-01,2024-10-31,2012-02-29,Mensal,BACABAL,Operante,A220,-4.24305555,-44.79499999,22.33,,,1007.3,,5.0,1.1
2012-01-01,2024-10-31,2012-03-31,Mensal,BACABAL,Operante,A220,-4.24305555,-44.79499999,22.33,,,1008.0,26.1,4.5,0.6
2012-01-01,2024-10-31,2012-04-30,Mensal,BACABAL,Operante,A220,-4.24305555,-44.79499999,22.33,,,1007.6,26.9,4.0,0.6
2012-01-01,2024-10-31,2012-05-31,Mensal,BACABAL,Operante,A220,-4.24305555,-44.79499999,22.33,,,1008.7,27.3,4.0,0.7
2012-01-01,2024-10-31,2012-06-30,Mensal,BACABAL,Operante,A220,-4.24305555,-44.79499999,22.33,,,1010.0,27.0,5.0,0.7
2012-01-01,2024-10-31,2012-07-31,Mensal,BACABAL,Operante,A220,-4.24305555,-44.79499999,22.33,,,1009.5,27.5,5.5,0.8
2012-01-01,2024-10-31,2012-08-31,Mensal,BACABAL,Operante,A220,-4.24305555,-44.79499999,22.33,,,1010.2,27.9,6.1,1.3
2012-01-01,2024-10-31,2012-09-30,Mensal,BACABAL,Operante,A220,-4.24305555,-44.79499999,22.33,,,1009.7,28.9,5.3,1.4
2012-01-01,2024-10-31,2012-10-31,Mensal,BACABAL,Operante,A220,-4.24305555,-44.79499999,22.33,,,1007.0,29.5,5.1,1.5
2012-01-01,2024-10-31,2012-11-30,Mensal,BACABAL,Operante,A220,-4.24305555,-44.79499999,22.33,,,,,4.8,
2012-01-01,2024-10-31,2012-12-31,Mensal,BACABAL,Operante,A220,-4.24305555,-44.79499999,22.33,,,,,8.7,
2012-01-01,2024-10-31,2013-01-31,Mensal,BACABAL,Operante,A220,-4.24305555,-44.79499999,22.33,,,,,4.5,
2012-01-01,2024-10-31,2013-02-28,Mensal,BACABAL,Operante,A220,-4.24305555,-44.79499999,22.33,,,,,,
2012-01-01,2024-10-31,2013-03-31,Mensal,BACABAL,Operante,A220,-4.24305555,-44.79499999,22.33,3.0,,,,,
2012-01-01,2024-10-31,2013-04-30,Mensal,BACABAL,Operante,A220,-4.24305555,-44.79499999,22.33,24.0,371.6,1008.4,27.1,5.2,0.6
2012-01-01,2024-10-31,2013-05-31,Mensal,BACABAL,Operante,A220,-4.24305555,-44.79499999,22.33,18.0,142.6,1008.8,26.8,4.9,0.7
2012-01-01,2024-10-31,2013-06-30,Mensal,BACABAL,Operante,A220,-4.24305555,-44.79499999,22.33,12.0,62.2,1009.5,27.1,5.3,0.6
2012-01-01,2024-10-31,2013-07-31,Mensal,BACABAL,Operante,A220,-4.24305555,-44.79499999,22.33,8.0,19.2,1010.4,27.0,5.7,0.8
2012-01-01,2024-10-31,2013-08-31,Mensal,BACABAL,Operante,A220,-4.24305555,-44.79499999,22.33,1.0,1.8,1009.0,28.1,4.4,0.9
2012-01-01,2024-10-31,2013-09-30,Mensal,BACABAL,Operante,A220,-4.24305555,-44.79499999,22.33,5.0,5.6,1008.5,29.2,4.6,1.3
2012-01-01,2024-10-31,2013-10-31,Mensal,BACABAL,Operante,A220,-4.24305555,-44.79499999,22.33,4.0,14.6,1008.0,29.0,5.9,1.5
2012-01-01,2024-10-31,2013-11-30,Mensal,BACABAL,Operante,A220,-4.24305555,-44.79499999,22.33,,,,,4.1,
2012-01-01,2024-10-31,2013-12-31,Mensal,BACABAL,Operante,A220,-4.24305555,-44.79499999,22.33,7.0,,,27.9,3.6,
2012-01-01,2024-10-31,2014-01-31,Mensal,BACABAL,Operante,A220,-4.24305555,-44.79499999,22.33,19.0,253.6,1008.3,26.2,5.2,0.9
2012-01-01,2024-10-31,2014-02-28,Mensal,BACABAL,Operante,A220,-4.24305555,-44.79499999,22.33,26.0,409.0,1007.4,26.0,4.9,0.9
2012-01-01,2024-10-31,2014-03-31,Mensal,BACABAL,Operante,A220,-4.24305555,-44.79499999,22.33,23.0,294.8,1008.1,26.5,4.7,0.9
2012-01-01,2024-10-31,2014-04-30,Mensal,BACABAL,Operante,A220,-4.24305555,-44.79499999,22.33,27.0,401.4,1008.5,26.3,6.1,0.9
