Data_Inicial,Data_Final,Data_Medicao,Periodicidade_Medicao,Local_Nome_Estacao,Situacao,Codigo_Estacao,Latitude,Longitude,Altitude,Numero_de_dias_com_precip_pluv_mensal_auto_em_numero,Precipitacao_total_mensal_auto_em_mm,Pressao_atmosferica_media_mensal_auto_em_mB,Temperatura_media_mensal_auto_Celsius,VENTO_velocidade_MAXIMA_mensal_auto_em_metros_seg,VENTO_velocidade_MEDIA_mensal_auto_em_metros_seg
2012-01-01,2021-04-25,2012-01-31,Mensal,ARQ.SAO PEDRO E SAO PAULO,Desativada,A302,0.91694443,-29.34583333,15.0,,,,,,
2012-01-01,2021-04-25,2012-02-29,Mensal,ARQ.SAO PEDRO E SAO PAULO,Desativada,A302,0.91694443,-29.34583333,15.0,,,,,,
2012-01-01,2021-04-25,2012-03-31,Mensal,ARQ.SAO PEDRO E SAO PAULO,Desativada,A302,0.91694443,-29.34583333,15.0,,,,,,
2012-01-01,2021-04-25,2012-04-30,Mensal,ARQ.SAO PEDRO E SAO PAULO,Desativada,A302,0.91694443,-29.34583333,15.0,,,,,,
2012-01-01,2021-04-25,2012-05-31,Mensal,ARQ.SAO PEDRO E SAO PAULO,Desativada,A302,0.91694443,-29.34583333,15.0,,,,,,
2012-01-01,2021-04-25,2012-06-30,Mensal,ARQ.SAO PEDRO E SAO PAULO,Desativada,A302,0.91694443,-29.34583333,15.0,,,,,,
2012-01-01,2021-04-25,2012-07-31,Mensal,ARQ.SAO PEDRO E SAO PAULO,Desativada,A302,0.91694443,-29.34583333,15.0,,,,,,
2012-01-01,2021-04-25,2012-08-31,Mensal,ARQ.SAO PEDRO E SAO PAULO,Desativada,A302,0.91694443,-29.34583333,15.0,,,,,,
2012-01-01,2021-04-25,2012-09-30,Mensal,ARQ.SAO PEDRO E SAO PAULO,Desativada,A302,0.91694443,-29.34583333,15.0,,,,,,
2012-01-01,2021-04-25,2012-10-31,Mensal,ARQ.SAO PEDRO E SAO PAULO,Desativada,A302,0.91694443,-29.34583333,15.0,,,,,,
2012-01-01,2021-04-25,2012-11-30,Mensal,ARQ.SAO PEDRO E SAO PAULO,Desativada,A302,0.91694443,-29.34583333,15.0,,,,,,
2012-01-01,2021-04-25,2012-12-31,Mensal,ARQ.SAO PEDRO E SAO PAULO,Desativada,A302,0.91694443,-29.34583333,15.0,,,,,,
2012-01-01,2021-04-25,2013-01-31,Mensal,ARQ.SAO PEDRO E SAO PAULO,Desativada,A302,0.91694443,-29.34583333,15.0,,,,,,
2012-01-01,2021-04-25,2013-02-28,Mensal,ARQ.SAO PEDRO E SAO PAULO,Desativada,A302,0.91694443,-29.34583333,15.0,,,,,,
2012-01-01,2021-04-25,2013-03-31,Mensal,ARQ.SAO PEDRO E SAO PAULO,Desativada,A302,0.91694443,-29.34583333,15.0,,,,,,
2012-01-01,2021-04-25,2013-04-30,Mensal,ARQ.SAO PEDRO E SAO PAULO,Desativada,A302,0.91694443,-29.34583333,15.0,,,,,,
2012-01-01,2021-04-25,2013-05-31,Mensal,ARQ.SAO PEDRO E SAO PAULO,Desativada,A302,0.91694443,-29.34583333,15.0,,,,,,
2012-01-01,2021-04-25,2013-06-30,Mensal,ARQ.SAO PEDRO E SAO PAULO,Desativada,A302,0.91694443,-29.34583333,15.0,,,,,,
