Data_Inicial,Data_Final,Data_Medicao,Periodicidade_Medicao,Local_Nome_Estacao,Situacao,Codigo_Estacao,Latitude,Longitude,Altitude,Numero_de_dias_com_precip_pluv_mensal_auto_em_numero,Precipitacao_total_mensal_auto_em_mm,Pressao_atmosferica_media_mensal_auto_em_mB,Temperatura_media_mensal_auto_Celsius,VENTO_velocidade_MAXIMA_mensal_auto_em_metros_seg,VENTO_velocidade_MEDIA_mensal_auto_em_metros_seg
2012-01-01,2024-10-31,2012-01-31,Mensal,ALTO ARAGUAIA,Operante,A909,-17.33944444,-53.22444443,753.28,27.0,281.4,,22.4,6.8,
2012-01-01,2024-10-31,2012-02-29,Mensal,ALTO ARAGUAIA,Operante,A909,-17.33944444,-53.22444443,753.28,16.0,182.4,,23.3,7.9,
2012-01-01,2024-10-31,2012-03-31,Mensal,ALTO ARAGUAIA,Operante,A909,-17.33944444,-53.22444443,753.28,23.0,209.4,,22.9,8.0,
2012-01-01,2024-10-31,2012-04-30,Mensal,ALTO ARAGUAIA,Operante,A909,-17.33944444,-53.22444443,753.28,18.0,91.6,,23.1,6.9,
2012-01-01,2024-10-31,2012-05-31,Mensal,ALTO ARAGUAIA,Operante,A909,-17.33944444,-53.22444443,753.28,9.0,91.8,,21.0,6.4,
2012-01-01,2024-10-31,2012-06-30,Mensal,ALTO ARAGUAIA,Operante,A909,-17.33944444,-53.22444443,753.28,7.0,34.2,,21.0,7.3,
2012-01-01,2024-10-31,2012-07-31,Mensal,ALTO ARAGUAIA,Operante,A909,-17.33944444,-53.22444443,753.28,1.0,2.0,,20.5,6.7,
2012-01-01,2024-10-31,2012-08-31,Mensal,ALTO ARAGUAIA,Operante,A909,-17.33944444,-53.22444443,753.28,,0.0,,22.8,7.1,
2012-01-01,2024-10-31,2012-09-30,Mensal,ALTO ARAGUAIA,Operante,A909,-17.33944444,-53.22444443,753.28,5.0,23.8,,25.2,8.8,
2012-01-01,2024-10-31,2012-10-31,Mensal,ALTO ARAGUAIA,Operante,A909,-17.33944444,-53.22444443,753.28,10.0,67.2,,25.3,9.0,
2012-01-01,2024-10-31,2012-11-30,Mensal,ALTO ARAGUAIA,Operante,A909,-17.33944444,-53.22444443,753.28,18.0,197.8,,23.5,11.6,
2012-01-01,2024-10-31,2012-12-31,Mensal,ALTO ARAGUAIA,Operante,A909,-17.33944444,-53.22444443,753.28,16.0,165.0,,24.3,7.7,
2012-01-01,2024-10-31,2013-01-31,Mensal,ALTO ARAGUAIA,Operante,A909,-17.33944444,-53.22444443,753.28,24.0,347.2,,23.3,6.5,
2012-01-01,2024-10-31,2013-02-28,Mensal,ALTO ARAGUAIA,Operante,A909,-17.33944444,-53.22444443,753.28,19.0,265.6,,22.9,7.1,
2012-01-01,2024-10-31,2013-03-31,Mensal,ALTO ARAGUAIA,Operante,A909,-17.33944444,-53.22444443,753.28,19.0,250.0,,23.7,7.6,
2012-01-01,2024-10-31,2013-04-30,Mensal,ALTO ARAGUAIA,Operante,A909,-17.33944444,-53.22444443,753.28,11.0,174.8,,22.2,5.8,
2012-01-01,2024-10-31,2013-05-31,Mensal,ALTO ARAGUAIA,Operante,A909,-17.33944444,-53.22444443,753.28,2.0,29.4,,22.1,5.7,
2012-01-01,2024-10-31,2013-06-30,Mensal,ALTO ARAGUAIA,Operante,A909,-17.33944444,-53.22444443,753.28,4.0,,,21.8,6.6,
2012-01-01,2024-10-31,2013-07-31,Mensal,ALTO ARAGUAIA,Operante,A909,-17.33944444,-53.22444443,753.28,0.0,0.0,,20.3,6.2,
2012-01-01,2024-10-31,2013-08-31,Mensal,ALTO ARAGUAIA,Operante,A909,-17.33944444,-53.22444443,753.28,1.0,0.2,,21.5,7.0,
