Data_Inicial,Data_Final,Data_Medicao,Periodicidade_Medicao,Local_Nome_Estacao,Situacao,Codigo_Estacao,Latitude,Longitude,Altitude,Numero_de_dias_com_precip_pluv_mensal_auto_em_numero,Precipitacao_total_mensal_auto_em_mm,Pressao_atmosferica_media_mensal_auto_em_mB,Temperatura_media_mensal_auto_Celsius,VENTO_velocidade_MAXIMA_mensal_auto_em_metros_seg,VENTO_velocidade_MEDIA_mensal_auto_em_metros_seg
2012-01-01,2024-10-31,2012-01-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,25.0,121.6,1005.4,24.7,5.0,1.2
2012-01-01,2024-10-31,2012-02-29,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,24.0,153.8,1005.4,24.3,3.8,1.2
2012-01-01,2024-10-31,2012-03-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,22.0,83.0,1005.6,24.5,4.2,1.2
2012-01-01,2024-10-31,2012-04-30,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,19.0,47.8,1005.5,24.5,4.7,1.3
2012-01-01,2024-10-31,2012-05-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,24.0,182.0,1007.9,22.8,4.8,1.6
2012-01-01,2024-10-31,2012-06-30,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,6.0,2.4,1009.3,22.6,4.1,1.2
2012-01-01,2024-10-31,2012-07-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,,,1010.2,21.6,4.1,1.3
2012-01-01,2024-10-31,2012-08-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,15.0,149.6,1012.3,21.1,4.9,1.6
2012-01-01,2024-10-31,2012-09-30,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,15.0,64.0,1010.4,22.2,5.5,1.7
2012-01-01,2024-10-31,2012-10-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,22.0,137.6,1007.5,22.9,4.3,1.4
2012-01-01,2024-10-31,2012-11-30,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,22.0,128.0,1004.0,24.4,4.6,1.4
2012-01-01,2024-10-31,2012-12-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,9.0,15.4,1004.2,25.3,4.6,1.5
2012-01-01,2024-10-31,2013-01-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,21.0,192.2,1004.9,25.4,4.7,1.5
2012-01-01,2024-10-31,2013-02-28,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,23.0,226.8,1005.2,25.1,3.8,1.2
2012-01-01,2024-10-31,2013-03-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,18.0,52.8,1004.9,25.7,4.1,1.3
2012-01-01,2024-10-31,2013-04-30,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,17.0,166.6,1006.0,24.4,4.6,1.6
2012-01-01,2024-10-31,2013-05-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,25.0,116.2,1007.3,23.4,4.2,1.5
2012-01-01,2024-10-31,2013-06-30,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,29.0,195.0,1008.7,22.7,4.0,1.3
2012-01-01,2024-10-31,2013-07-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,31.0,146.4,1010.3,22.1,4.9,1.4
2012-01-01,2024-10-31,2013-08-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,24.0,175.2,1010.0,21.7,4.2,1.4
2012-01-01,2024-10-31,2013-09-30,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,24.0,266.6,1009.2,22.4,4.8,1.4
2012-01-01,2024-10-31,2013-10-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,24.0,207.4,1007.7,23.0,5.2,1.6
2012-01-01,2024-10-31,2013-11-30,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,24.0,342.8,1005.0,23.9,4.8,1.3
2012-01-01,2024-10-31,2013-12-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,19.0,227.0,1003.4,25.1,4.9,1.7
2012-01-01,2024-10-31,2014-01-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,28.0,142.2,1006.2,24.8,4.0,1.3
2012-01-01,2024-10-31,2014-02-28,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,26.0,146.6,1005.4,24.7,3.9,1.3
2012-01-01,2024-10-31,2014-03-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,27.0,265.4,1005.6,24.7,3.8,1.1
2012-01-01,2024-10-31,2014-04-30,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,22.0,52.8,1005.6,24.5,4.6,1.3
2012-01-01,2024-10-31,2014-05-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,18.0,125.2,1007.1,23.5,4.8,1.3
2012-01-01,2024-10-31,2014-06-30,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,,,1009.4,22.4,3.7,1.2
2012-01-01,2024-10-31,2014-07-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,,,1012.0,21.6,5.3,1.5
2012-01-01,2024-10-31,2014-08-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,,,1011.1,21.5,6.9,1.4
2012-01-01,2024-10-31,2014-09-30,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,22.0,64.4,1009.6,22.3,5.6,1.6
2012-01-01,2024-10-31,2014-10-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,21.0,82.0,1008.5,22.9,5.7,1.6
2012-01-01,2024-10-31,2014-11-30,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,25.0,141.2,1005.5,23.8,4.2,1.5
2012-01-01,2024-10-31,2014-12-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,24.0,382.8,1005.9,24.2,4.8,1.4
2012-01-01,2024-10-31,2015-01-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,24.0,77.0,1006.8,24.9,3.9,1.2
2012-01-01,2024-10-31,2015-02-28,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,26.0,155.6,1005.8,25.3,4.5,1.3
2012-01-01,2024-10-31,2015-03-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,25.0,87.6,1005.1,25.5,3.3,1.1
2012-01-01,2024-10-31,2015-04-30,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,9.0,,,,4.6,
2012-01-01,2024-10-31,2015-05-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,26.0,113.0,1008.0,23.5,4.7,1.7
2012-01-01,2024-10-31,2015-06-30,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,27.0,343.2,1010.5,22.6,5.1,1.6
2012-01-01,2024-10-31,2015-07-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,28.0,172.0,1010.9,22.1,3.9,1.2
2012-01-01,2024-10-31,2015-08-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,27.0,207.0,1010.8,21.5,4.7,1.2
2012-01-01,2024-10-31,2015-09-30,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,22.0,8.6,1008.2,23.3,5.2,1.4
2012-01-01,2024-10-31,2015-10-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,14.0,158.0,1007.8,24.1,4.3,1.4
2012-01-01,2024-10-31,2015-11-30,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,12.0,20.4,1004.5,25.6,5.1,1.7
2012-01-01,2024-10-31,2015-12-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,16.0,31.6,1006.4,25.9,4.9,1.5
2012-01-01,2024-10-31,2016-01-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,21.0,94.4,1004.4,26.4,4.7,1.5
2012-01-01,2024-10-31,2016-02-29,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,7.0,6.4,1006.0,26.5,3.9,1.3
2012-01-01,2024-10-31,2016-03-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,22.0,82.0,1006.4,26.2,4.3,1.2
2012-01-01,2024-10-31,2016-04-30,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,21.0,61.0,1006.3,25.3,3.8,1.2
2012-01-01,2024-10-31,2016-05-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,22.0,78.0,1008.4,23.8,5.3,1.3
2012-01-01,2024-10-31,2016-06-30,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,20.0,69.8,1010.1,22.9,5.1,1.7
2012-01-01,2024-10-31,2016-07-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,24.0,147.8,1010.8,22.2,4.9,1.2
2012-01-01,2024-10-31,2016-08-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,16.0,,1009.9,22.3,4.9,1.5
2012-01-01,2024-10-31,2016-09-30,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,23.0,82.6,1009.5,22.5,4.0,1.2
2012-01-01,2024-10-31,2016-10-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,22.0,207.2,1006.6,23.9,4.8,1.3
2012-01-01,2024-10-31,2016-11-30,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,21.0,318.2,1005.4,24.3,5.0,1.4
2012-01-01,2024-10-31,2016-12-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,16.0,89.8,1005.1,25.3,4.6,1.5
2012-01-01,2024-10-31,2017-01-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,19.0,45.2,1005.7,25.4,3.5,1.2
2012-01-01,2024-10-31,2017-02-28,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,25.0,124.8,1005.3,25.1,4.2,1.0
2012-01-01,2024-10-31,2017-03-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,21.0,128.4,1005.0,25.1,3.9,1.1
2012-01-01,2024-10-31,2017-04-30,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,18.0,,,24.6,4.4,
2012-01-01,2024-10-31,2017-05-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,,,,,6.1,
2012-01-01,2024-10-31,2017-06-30,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,,,,,3.1,
2012-01-01,2024-10-31,2017-07-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,7.0,,,,,
2012-01-01,2024-10-31,2017-08-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,19.0,85.8,1010.5,20.9,4.5,1.3
2012-01-01,2024-10-31,2017-09-30,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,23.0,,1012.7,21.3,4.5,1.5
2012-01-01,2024-10-31,2017-10-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,10.0,,,,4.2,
2012-01-01,2024-10-31,2017-11-30,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,12.0,,,24.2,5.5,
2012-01-01,2024-10-31,2017-12-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,21.0,,,24.9,4.3,
2012-01-01,2024-10-31,2018-01-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,21.0,88.4,1005.1,25.4,4.7,1.3
2012-01-01,2024-10-31,2018-02-28,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,20.0,225.8,1004.1,25.5,4.3,1.2
2012-01-01,2024-10-31,2018-03-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,22.0,184.8,1004.0,25.4,4.1,1.2
2012-01-01,2024-10-31,2018-04-30,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,20.0,,1006.5,24.3,4.7,1.3
2012-01-01,2024-10-31,2018-05-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,25.0,203.4,1008.3,23.3,5.2,1.4
2012-01-01,2024-10-31,2018-06-30,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,26.0,219.4,1010.4,22.4,4.0,1.1
2012-01-01,2024-10-31,2018-07-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,31.0,115.4,1010.8,21.6,3.6,0.9
2012-01-01,2024-10-31,2018-08-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,26.0,72.8,1010.6,22.2,4.3,1.1
2012-01-01,2024-10-31,2018-09-30,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,17.0,,1007.7,22.9,4.7,1.1
2012-01-01,2024-10-31,2018-10-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,16.0,45.0,1005.9,24.1,4.9,1.2
2012-01-01,2024-10-31,2018-11-30,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,16.0,,1005.9,24.6,3.9,1.0
2012-01-01,2024-10-31,2018-12-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,16.0,183.4,1005.6,25.2,5.2,1.3
2012-01-01,2024-10-31,2019-01-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,26.0,60.6,1007.0,25.8,3.5,1.1
2012-01-01,2024-10-31,2019-02-28,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,13.0,33.4,1004.3,27.0,4.4,1.2
2012-01-01,2024-10-31,2019-03-31,Mensal,UNA,Operante,A437,-15.28027777,-39.09138888,74.08,9.0,,1005.1,26.6,3.8,1.3
