Data_Inicial,Data_Final,Data_Medicao,Periodicidade_Medicao,Local_Nome_Estacao,Situacao,Codigo_Estacao,Latitude,Longitude,Altitude,Numero_de_dias_com_precip_pluv_mensal_auto_em_numero,Precipitacao_total_mensal_auto_em_mm,Pressao_atmosferica_media_mensal_auto_em_mB,Temperatura_media_mensal_auto_Celsius,VENTO_velocidade_MAXIMA_mensal_auto_em_metros_seg,VENTO_velocidade_MEDIA_mensal_auto_em_metros_seg
2012-01-01,2013-10-12,2012-01-31,Mensal,AREMBEPE,Desativada,A403,-12.762552,-38.16906,4.87,12,29.0,1015.5,26.5,11.3,5.9
2012-01-01,2013-10-12,2012-02-29,Mensal,AREMBEPE,Desativada,A403,-12.762552,-38.16906,4.87,11,,,26.6,13.5,
2012-01-01,2013-10-12,2012-03-31,Mensal,AREMBEPE,Desativada,A403,-12.762552,-38.16906,4.87,14,66.8,1015.8,26.8,10.8,5.9
2012-01-01,2013-10-12,2012-04-30,Mensal,AREMBEPE,Desativada,A403,-12.762552,-38.16906,4.87,12,33.2,1015.8,26.8,10.2,5.2
2012-01-01,2013-10-12,2012-05-31,Mensal,AREMBEPE,Desativada,A403,-12.762552,-38.16906,4.87,16,,1017.6,26.0,12.9,6.1
2012-01-01,2013-10-12,2012-06-30,Mensal,AREMBEPE,Desativada,A403,-12.762552,-38.16906,4.87,4,,,,,
2012-01-01,2013-10-12,2012-07-31,Mensal,AREMBEPE,Desativada,A403,-12.762552,-38.16906,4.87,17,68.8,1016.7,24.5,12.6,5.9
2012-01-01,2013-10-12,2012-08-31,Mensal,AREMBEPE,Desativada,A403,-12.762552,-38.16906,4.87,24,44.2,1018.5,24.2,13.8,7.6
2012-01-01,2013-10-12,2012-09-30,Mensal,AREMBEPE,Desativada,A403,-12.762552,-38.16906,4.87,11,12.2,1017.2,24.5,14.2,6.4
2012-01-01,2013-10-12,2012-10-31,Mensal,AREMBEPE,Desativada,A403,-12.762552,-38.16906,4.87,12,36.2,1014.3,25.0,12.1,6.7
2012-01-01,2013-10-12,2012-11-30,Mensal,AREMBEPE,Desativada,A403,-12.762552,-38.16906,4.87,8,61.6,1011.1,25.3,10.6,5.2
2012-01-01,2013-10-12,2012-12-31,Mensal,AREMBEPE,Desativada,A403,-12.762552,-38.16906,4.87,7,4.0,1011.4,26.2,9.9,5.9
2012-01-01,2013-10-12,2013-01-31,Mensal,AREMBEPE,Desativada,A403,-12.762552,-38.16906,4.87,14,15.2,1012.0,26.4,10.7,5.6
2012-01-01,2013-10-12,2013-02-28,Mensal,AREMBEPE,Desativada,A403,-12.762552,-38.16906,4.87,10,42.2,1012.0,27.1,12.0,6.3
2012-01-01,2013-10-12,2013-03-31,Mensal,AREMBEPE,Desativada,A403,-12.762552,-38.16906,4.87,13,63.4,1012.0,27.2,10.7,5.7
2012-01-01,2013-10-12,2013-04-30,Mensal,AREMBEPE,Desativada,A403,-12.762552,-38.16906,4.87,16,150.2,1012.5,26.8,14.3,6.4
2012-01-01,2013-10-12,2013-05-31,Mensal,AREMBEPE,Desativada,A403,-12.762552,-38.16906,4.87,18,95.6,1013.8,26.1,13.4,5.4
2012-01-01,2013-10-12,2013-06-30,Mensal,AREMBEPE,Desativada,A403,-12.762552,-38.16906,4.87,22,170.6,1015.1,25.4,11.7,4.8
2012-01-01,2013-10-12,2013-07-31,Mensal,AREMBEPE,Desativada,A403,-12.762552,-38.16906,4.87,23,97.4,1016.7,25.1,14.9,6.0
2012-01-01,2013-10-12,2013-08-31,Mensal,AREMBEPE,Desativada,A403,-12.762552,-38.16906,4.87,19,126.2,1016.4,24.6,13.0,6.2
2012-01-01,2013-10-12,2013-09-30,Mensal,AREMBEPE,Desativada,A403,-12.762552,-38.16906,4.87,15,39.4,1015.9,25.1,13.4,6.4
2012-01-01,2013-10-12,2013-10-31,Mensal,AREMBEPE,Desativada,A403,-12.762552,-38.16906,4.87,4,,,,,
