Data_Inicial,Data_Final,Data_Medicao,Periodicidade_Medicao,Local_Nome_Estacao,Situacao,Codigo_Estacao,Latitude,Longitude,Altitude,Numero_de_dias_com_precip_pluv_mensal_auto_em_numero,Precipitacao_total_mensal_auto_em_mm,Pressao_atmosferica_media_mensal_auto_em_mB,Temperatura_media_mensal_auto_Celsius,VENTO_velocidade_MAXIMA_mensal_auto_em_metros_seg,VENTO_velocidade_MEDIA_mensal_auto_em_metros_seg
2012-01-01,2024-10-31,2012-01-31,Mensal,AMARGOSA,Operante,A434,-13.00944444,-39.61694443,397.8,14.0,14.0,969.2,24.3,7.3,3.2
2012-01-01,2024-10-31,2012-02-29,Mensal,AMARGOSA,Operante,A434,-13.00944444,-39.61694443,397.8,19.0,68.0,969.2,23.9,7.4,3.2
2012-01-01,2024-10-31,2012-03-31,Mensal,AMARGOSA,Operante,A434,-13.00944444,-39.61694443,397.8,10.0,20.8,969.5,24.5,8.6,2.9
2012-01-01,2024-10-31,2012-04-30,Mensal,AMARGOSA,Operante,A434,-13.00944444,-39.61694443,397.8,20.0,33.4,969.6,23.8,6.8,2.6
2012-01-01,2024-10-31,2012-05-31,Mensal,AMARGOSA,Operante,A434,-13.00944444,-39.61694443,397.8,18.0,41.2,971.5,22.7,7.9,2.8
2012-01-01,2024-10-31,2012-06-30,Mensal,AMARGOSA,Operante,A434,-13.00944444,-39.61694443,397.8,23.0,78.0,973.0,21.9,7.3,2.5
2012-01-01,2024-10-31,2012-07-31,Mensal,AMARGOSA,Operante,A434,-13.00944444,-39.61694443,397.8,22.0,85.8,973.5,20.9,7.8,2.9
2012-01-01,2024-10-31,2012-08-31,Mensal,AMARGOSA,Operante,A434,-13.00944444,-39.61694443,397.8,25.0,117.0,975.1,20.2,8.0,3.6
2012-01-01,2024-10-31,2012-09-30,Mensal,AMARGOSA,Operante,A434,-13.00944444,-39.61694443,397.8,12.0,13.8,973.8,21.7,8.1,3.2
2012-01-01,2024-10-31,2012-10-31,Mensal,AMARGOSA,Operante,A434,-13.00944444,-39.61694443,397.8,15.0,52.2,971.1,22.1,7.0,3.1
2012-01-01,2024-10-31,2012-11-30,Mensal,AMARGOSA,Operante,A434,-13.00944444,-39.61694443,397.8,13.0,55.4,968.1,23.7,6.6,2.3
2012-01-01,2024-10-31,2012-12-31,Mensal,AMARGOSA,Operante,A434,-13.00944444,-39.61694443,397.8,2.0,3.2,968.4,25.0,8.4,3.1
2012-01-01,2024-10-31,2013-01-31,Mensal,AMARGOSA,Operante,A434,-13.00944444,-39.61694443,397.8,15.0,37.6,969.1,25.2,8.5,2.9
2012-01-01,2024-10-31,2013-02-28,Mensal,AMARGOSA,Operante,A434,-13.00944444,-39.61694443,397.8,15.0,49.0,969.2,24.8,7.2,3.1
2012-01-01,2024-10-31,2013-03-31,Mensal,AMARGOSA,Operante,A434,-13.00944444,-39.61694443,397.8,10.0,27.4,969.3,25.3,7.9,3.0
2012-01-01,2024-10-31,2013-04-30,Mensal,AMARGOSA,Operante,A434,-13.00944444,-39.61694443,397.8,10.0,32.0,969.9,24.3,8.1,3.2
2012-01-01,2024-10-31,2013-05-31,Mensal,AMARGOSA,Operante,A434,-13.00944444,-39.61694443,397.8,13.0,47.8,971.1,23.2,7.9,2.9
2012-01-01,2024-10-31,2013-06-30,Mensal,AMARGOSA,Operante,A434,-13.00944444,-39.61694443,397.8,24.0,84.4,972.3,21.9,7.6,2.6
2012-01-01,2024-10-31,2013-07-31,Mensal,AMARGOSA,Operante,A434,-13.00944444,-39.61694443,397.8,23.0,91.6,973.8,21.0,7.1,2.5
2012-01-01,2024-10-31,2013-08-31,Mensal,AMARGOSA,Operante,A434,-13.00944444,-39.61694443,397.8,26.0,93.2,973.4,20.6,7.9,2.9
2012-01-01,2024-10-31,2013-09-30,Mensal,AMARGOSA,Operante,A434,-13.00944444,-39.61694443,397.8,19.0,86.6,972.8,21.4,7.7,2.6
2012-01-01,2024-10-31,2013-10-31,Mensal,AMARGOSA,Operante,A434,-13.00944444,-39.61694443,397.8,12.0,39.0,971.4,22.5,9.1,3.1
2012-01-01,2024-10-31,2013-11-30,Mensal,AMARGOSA,Operante,A434,-13.00944444,-39.61694443,397.8,17.0,62.2,969.1,23.4,8.3,2.7
2012-01-01,2024-10-31,2013-12-31,Mensal,AMARGOSA,Operante,A434,-13.00944444,-39.61694443,397.8,10.0,122.6,968.2,24.5,6.3,2.0
2012-01-01,2024-10-31,2014-01-31,Mensal,AMARGOSA,Operante,A434,-13.00944444,-39.61694443,397.8,17.0,70.2,970.2,24.0,10.1,2.7
