Data_Inicial,Data_Final,Data_Medicao,Periodicidade_Medicao,Local_Nome_Estacao,Situacao,Codigo_Estacao,Latitude,Longitude,Altitude,Numero_de_dias_com_precip_pluv_mensal_auto_em_numero,Precipitacao_total_mensal_auto_em_mm,Pressao_atmosferica_media_mensal_auto_em_mB,Temperatura_media_mensal_auto_Celsius,VENTO_velocidade_MAXIMA_mensal_auto_em_metros_seg,VENTO_velocidade_MEDIA_mensal_auto_em_metros_seg
2012-10-28,2024-10-31,2012-10-31,Mensal,CAMPOS LINDOS,Pane,A043,-8.15472222,-46.63944444,426.56,,,,,,
2012-10-28,2024-10-31,2012-11-30,Mensal,CAMPOS LINDOS,Pane,A043,-8.15472222,-46.63944444,426.56,19.0,218.8,962.1,24.8,8.5,1.9
2012-10-28,2024-10-31,2012-12-31,Mensal,CAMPOS LINDOS,Pane,A043,-8.15472222,-46.63944444,426.56,19.0,113.2,961.9,24.9,7.0,1.9
2012-10-28,2024-10-31,2013-01-31,Mensal,CAMPOS LINDOS,Pane,A043,-8.15472222,-46.63944444,426.56,21.0,399.8,963.3,24.6,5.9,1.9
2012-10-28,2024-10-31,2013-02-28,Mensal,CAMPOS LINDOS,Pane,A043,-8.15472222,-46.63944444,426.56,12.0,70.2,962.2,24.8,5.9,1.6
2012-10-28,2024-10-31,2013-03-31,Mensal,CAMPOS LINDOS,Pane,A043,-8.15472222,-46.63944444,426.56,20.0,124.0,962.9,25.0,6.7,
2012-10-28,2024-10-31,2013-04-30,Mensal,CAMPOS LINDOS,Pane,A043,-8.15472222,-46.63944444,426.56,9.0,,,25.3,,
2012-10-28,2024-10-31,2013-05-31,Mensal,CAMPOS LINDOS,Pane,A043,-8.15472222,-46.63944444,426.56,8.0,35.4,964.2,25.3,,
2012-10-28,2024-10-31,2013-06-30,Mensal,CAMPOS LINDOS,Pane,A043,-8.15472222,-46.63944444,426.56,3.0,18.8,964.8,25.2,,
2012-10-28,2024-10-31,2013-07-31,Mensal,CAMPOS LINDOS,Pane,A043,-8.15472222,-46.63944444,426.56,1.0,0.4,965.5,25.8,,
2012-10-28,2024-10-31,2013-08-31,Mensal,CAMPOS LINDOS,Pane,A043,-8.15472222,-46.63944444,426.56,0.0,0.0,964.2,26.8,6.5,2.5
2012-10-28,2024-10-31,2013-09-30,Mensal,CAMPOS LINDOS,Pane,A043,-8.15472222,-46.63944444,426.56,3.0,9.0,963.5,28.1,7.0,2.4
2012-10-28,2024-10-31,2013-10-31,Mensal,CAMPOS LINDOS,Pane,A043,-8.15472222,-46.63944444,426.56,11.0,134.0,963.0,26.3,7.3,2.2
2012-10-28,2024-10-31,2013-11-30,Mensal,CAMPOS LINDOS,Pane,A043,-8.15472222,-46.63944444,426.56,18.0,213.6,961.8,24.9,8.9,2.0
2012-10-28,2024-10-31,2013-12-31,Mensal,CAMPOS LINDOS,Pane,A043,-8.15472222,-46.63944444,426.56,16.0,229.6,962.4,24.6,6.9,1.9
2012-10-28,2024-10-31,2014-01-31,Mensal,CAMPOS LINDOS,Pane,A043,-8.15472222,-46.63944444,426.56,17.0,,963.6,23.9,6.3,1.7
2012-10-28,2024-10-31,2014-02-28,Mensal,CAMPOS LINDOS,Pane,A043,-8.15472222,-46.63944444,426.56,19.0,164.2,962.6,24.3,7.7,1.9
2012-10-28,2024-10-31,2014-03-31,Mensal,CAMPOS LINDOS,Pane,A043,-8.15472222,-46.63944444,426.56,22.0,184.8,963.3,24.5,4.6,
2012-10-28,2024-10-31,2014-04-30,Mensal,CAMPOS LINDOS,Pane,A043,-8.15472222,-46.63944444,426.56,21.0,97.0,963.8,25.0,,
2012-10-28,2024-10-31,2014-05-31,Mensal,CAMPOS LINDOS,Pane,A043,-8.15472222,-46.63944444,426.56,8.0,135.0,964.1,25.1,,
2012-10-28,2024-10-31,2014-06-30,Mensal,CAMPOS LINDOS,Pane,A043,-8.15472222,-46.63944444,426.56,1.0,0.6,965.0,25.1,,
2012-10-28,2024-10-31,2014-07-31,Mensal,CAMPOS LINDOS,Pane,A043,-8.15472222,-46.63944444,426.56,0.0,0.0,966.6,25.7,,
