Data_Inicial,Data_Final,Data_Medicao,Periodicidade_Medicao,Local_Nome_Estacao,Situacao,Codigo_Estacao,Latitude,Longitude,Altitude,Numero_de_dias_com_precip_pluv_mensal_auto_em_numero,Precipitacao_total_mensal_auto_em_mm,Pressao_atmosferica_media_mensal_auto_em_mB,Temperatura_media_mensal_auto_Celsius,VENTO_velocidade_MAXIMA_mensal_auto_em_metros_seg,VENTO_velocidade_MEDIA_mensal_auto_em_metros_seg
2012-01-01,2024-10-31,2012-01-31,Mensal,TRES MARIAS,Operante,A528,-18.200855,-45.459836,931.01,20.0,233.0,910.2,21.7,7.6,2.5
2012-01-01,2024-10-31,2012-02-29,Mensal,TRES MARIAS,Operante,A528,-18.200855,-45.459836,931.01,11.0,71.0,910.7,23.0,5.9,2.6
2012-01-01,2024-10-31,2012-03-31,Mensal,TRES MARIAS,Operante,A528,-18.200855,-45.459836,931.01,14.0,122.6,911.1,22.6,6.0,2.6
2012-01-01,2024-10-31,2012-04-30,Mensal,TRES MARIAS,Operante,A528,-18.200855,-45.459836,931.01,7.0,30.0,911.1,22.6,6.6,2.7
2012-01-01,2024-10-31,2012-05-31,Mensal,TRES MARIAS,Operante,A528,-18.200855,-45.459836,931.01,5.0,29.6,913.5,19.4,6.3,2.9
2012-01-01,2024-10-31,2012-06-30,Mensal,TRES MARIAS,Operante,A528,-18.200855,-45.459836,931.01,4.0,8.2,914.2,20.5,6.3,2.7
2012-01-01,2024-10-31,2012-07-31,Mensal,TRES MARIAS,Operante,A528,-18.200855,-45.459836,931.01,0.0,0.0,914.5,19.9,7.8,3.1
2012-01-01,2024-10-31,2012-08-31,Mensal,TRES MARIAS,Operante,A528,-18.200855,-45.459836,931.01,,0.0,916.5,19.5,7.3,3.8
2012-01-01,2024-10-31,2012-09-30,Mensal,TRES MARIAS,Operante,A528,-18.200855,-45.459836,931.01,3.0,3.2,913.7,23.2,8.2,3.2
2012-01-01,2024-10-31,2012-10-31,Mensal,TRES MARIAS,Operante,A528,-18.200855,-45.459836,931.01,4.0,12.2,910.7,24.7,7.3,3.2
2012-01-01,2024-10-31,2012-11-30,Mensal,TRES MARIAS,Operante,A528,-18.200855,-45.459836,931.01,25.0,270.4,908.7,22.2,7.4,2.6
2012-01-01,2024-10-31,2012-12-31,Mensal,TRES MARIAS,Operante,A528,-18.200855,-45.459836,931.01,8.0,61.6,909.4,24.7,8.7,2.4
2012-01-01,2024-10-31,2013-01-31,Mensal,TRES MARIAS,Operante,A528,-18.200855,-45.459836,931.01,21.0,341.0,910.1,22.4,6.1,2.3
2012-01-01,2024-10-31,2013-02-28,Mensal,TRES MARIAS,Operante,A528,-18.200855,-45.459836,931.01,7.0,60.4,910.5,23.8,8.5,2.6
